Title,Artist,Nationality,BeginDate,EndDate,Gender,Date,Department
"Marilyn Monroe I Love Your Kiss Forever Forever (double page headpiece, pages 112 and 113) from 1¢ Life",Andy Warhol,(American),(1928),(1987),(Male),1964,Prints & Illustrated Books
"Zemphira, costume design for Aleko (Scene I)",Marc Chagall,(French),(1887),(1985),(Male),(1942),Drawings
"THE CAKE OF KINGS (plate, page 8) from ALMANACH DE COCAGNE: Pour l'an 1921",Pierre Roy,(French),(1880),(1950),(Male),(1920),Prints & Illustrated Books
"Waiting Room, Baroness Erlanger Hospital, Chattanooga, Tennessee",Rosalind Fox Solomon,(American),(1930),,(Female),1975,Photography
Washington,Elliott Erwitt,(American),(1928),,(Male),1954,Photography
The Creature from the House,Clarence John Laughlin,(American),(1905),(1985),(Male),1938,Photography
My Secret Life,Louise Bourgeois,(American),(1911),(2010),(Female),2007,Prints & Illustrated Books
Learn to Read Art,Aleksandra Mir,(American),(1967),,(Female),2009,Prints & Illustrated Books
"Convention Hall project, Cermak Road, Chicago, IL (Structural model of preliminary scheme)",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1953-1954,Architecture & Design
Untitled from Cardinations,Jo Baer,(American),(1929),,(Female),1974,Prints & Illustrated Books
"Morton, Mississippi",William Eggleston,(American),(1939),,(Male),c. 1972,Photography
Untitled,Nair Benedicto,(Brazilian),(1940),,(Female),1978,Photography
Printer's proof for cover for Avtomobil' i upravlenie im (The Automobile and Driving It),Nikolai Sedel'nikov,(Russian),(1905),(1994),(Male),1928,Prints & Illustrated Books
Jack and Jill,"George Overbury (""Pop"") Hart",(American),(1868),(1933),(Male),1921,Prints & Illustrated Books
Hollow Form (Penwith),Barbara Hepworth,(British),(1903),(1975),(Female),1955-1956,Painting & Sculpture
"Who, Where, When, Why, What",Louise Bourgeois,(American),(1911),(2010),(Female),1999,Prints & Illustrated Books
Plate (folio 12) from RECOLLECTION,Fritz Glarner,(American),(1899),(1972),(Male),1964-1968,Prints & Illustrated Books
Still Life from The Metropolitan Scene,Roy Lichtenstein,(American),(1923),(1997),(Male),1968,Prints & Illustrated Books
"STOOR-WORM (plate, folio 24) from THE SCOTTISH BESTIARY",Bruce McLean,(British),(1944),,(Male),1986,Prints & Illustrated Books
Twosome,Louise Bourgeois,(American),(1911),(2010),(Female),2002,Prints & Illustrated Books
Untitled from Electric Chairs,Andy Warhol,(American),(1928),(1987),(Male),1971,Prints & Illustrated Books
"Konkretionen, Material 3",Emmett Williams,(American),(1925),(2007),(Male),1958-1959,Fluxus Collection
Post Nirvana,Yutaka Matsuzawa,(Japanese),(1922),(2006),(Male),1971,Prints & Illustrated Books
Raiders of the Lost Ark,Steven Spielberg,(American),(1946),,(Male),1981,Film
Cupids and Fans,Robert Kushner,(American),(1949),,(Male),(1981),Prints & Illustrated Books
The Bullfighters,Knut Rumohr,(Norwegian),(1916),(2002),(Male),1954,Prints & Illustrated Books
Window,Pierre Betz,(French),(1899),(1969),(Male),1900-1941,Photography
Untitled,Frank Stella,(American),(1936),,(Male),(1964),Drawings
Metamorphosis 601,Helmar Lerski,(Swiss),(1871),(1956),(Male),1936,Photography
Independence/Nakba,Fazal Sheikh,(American),(1965),,(Male),2013,Photography
Untitled from Fluxus 1,Unknown,(),,,(),1964,Prints & Illustrated Books
Mask of John Lennon,George Maciunas,(American),(1931),(1978),(Male),1970,Prints & Illustrated Books
"Plate (folio 5) from Six Geometric Figures and All Their Combinations, Volume I",Sol LeWitt,(American),(1928),(2007),(Male),1980,Prints & Illustrated Books
N. B. O. G. z B. SANATORIUM VII,Josef Gielniak,(Polish),(1932),(1972),(Male),1964,Prints & Illustrated Books
LYCÉE CONDORÇET. RUE CAUMARTIN 65,Eugène Atget,(French),(1857),(1927),(Male),1913,Photography
Sarabande,Nathaniel Dorsky,(American),(1943),,(Male),2008,Film
IN A SHOP WINDOW,Masuo Ikeda,(Japanese),(1934),(1997),(Male),(1963),Prints & Illustrated Books
Manuscript of Rekord nezhnosti: Zhitie Il'ia Zdanevicha (Record of Tenderness: Hagiography of Il'ia Zdanevich),Igor' Terent'ev,(Russian),(1892),(1937),(Male),1919,Prints & Illustrated Books
Portrait - Old Lady,Paul Strand,(American),(1890),(1976),(Male),1951,Photography
"BELL TOWER OF SAINT CYR SOUS DOURDAN (plate; volume I, page 41) from LES GÉORGIQUES (GEORGICA)",André Dunoyer de Segonzac,(French),(1884),(1974),(Male),1933-1947,Prints & Illustrated Books
Cancellation proof for What Is This Picasso? from The Blue Guitar,David Hockney,(British),(1937),,(Male),1977,Prints & Illustrated Books
Untitled from Spirit Cooking,Marina Abramović,(Yugoslav),(1946),,(Female),1996,Prints & Illustrated Books
Trongate in the Olden Time,Thomas Annan,(British),(1829),(1887),(Male),1868,Photography
Permanently,Alfred Leslie,(American),(1927),,(Male),1960,Prints & Illustrated Books
The Steerage,Alfred Stieglitz,(American),(1864),(1946),(Male),1907,Photography
ROUEN -- LE LYCÉE,Eugène Atget,(French),(1857),(1927),(Male),1907,Photography
La Cité-Notre-Dame,Henri Matisse,(French),(1869),(1954),(Male),1937,Prints & Illustrated Books
Macau Bridge,Wolfgang Tillmans,(German),(1968),,(Male),1993,Photography
Paper Dolls,Cindy Sherman,(American),(1954),,(Female),1975,Film
Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Unknown,(),,,(),c. 1914,Prints & Illustrated Books
Ancien couvent des Carmes. Rue de Vaugirard 70,Eugène Atget,(French),(1857),(1927),(Male),1914-1920,Photography
Momma's Man,Azazel Jacobs,(American),(1972),,(Male),2008,Film
Cubitainer Recessed Plug and Closure Containers,Thomas W. Winstead,(American),(1918),,(Male),1955,Architecture & Design
Untitled,Julian Lethbridge,(British),(1947),,(Male),1995,Prints & Illustrated Books
Banana. Costume design for the ballet H.P. (Horsepower),Diego Rivera,(Mexican),(1886),(1957),(Male),1927,Drawings
Glass Partition with Door (Perspective sketch),Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1926-1946,Architecture & Design
"""The Chains are Broken"": Young Girls Bearing in the Streets of Petrograd Sections of Chains from the Prisons of the Romanoff Regime",London Daily Mirror,(),,,(),1917,Photography
Fusses (Affairements),Jean Dubuffet,(French),(1901),(1985),(Male),1964,Prints & Illustrated Books
Form + Ideology,Michael Oblowitz,(South African),,,(Male),1977,Film
Fat,Peggy Bacon,(American),(1895),(1987),(Female),1926,Prints & Illustrated Books
"Plate (suite, plate 5) from THE PLAIN OF SMOKES",Ken Price,(American),(1935),(2012),(Male),1979-1981,Prints & Illustrated Books
"Just About to Step Into the Bus for the Assembly Center, San Francisco",Dorothea Lange,(American),(1895),(1965),(Female),1942,Photography
Peggy's Blue Skylight,Joyce Wieland,(Canadian),(1931),(1998),(Female),1964,Film
Drapery Fabric,Richard Riemerschmid,(German),(1868),(1957),(Male),1907,Architecture & Design
Charis,Edward Weston,(American),(1886),(1958),(Male),1942,Photography
Willard's Foot,Barbara Morgan,(American),(1900),(1992),(Female),1945,Photography
Cane,Martin Puryear,(American),(1941),,(Male),2000,Prints & Illustrated Books
"Collage, 269",Anne Ryan,(American),(1889),(1954),(Female),1949,Drawings
RAGLAN CASTLE,Alfred Capel Cure,(British),(1826),(1896),(Male),1858-1860,Photography
Macchu-Piccho,Hundertwasser (Friedrich Stowasser),(Austrian),(1928),(2000),(Male),1966,Prints & Illustrated Books
Maquette for Right Profile (Profile à droite),Jean Dubuffet,(French),(1901),(1985),(Male),(1961),Prints & Illustrated Books
"Old Jail, Smithville, Georgia",William Eggleston,(American),(1939),,(Male),1976,Photography
Love Letter to Doug from The Hundred Videos,Steve Reinke,(Canadian),(1963),,(Male),1994,Media and Performance Art
"Parisian (Parisienne) from L'Estampe moderne, no. 20",P. C. Helleu,(French),(1859),(1927),(Male),1898,Prints & Illustrated Books
"Pinball House, Los Angeles, CA (Plan)",Eric Owen Moss,(American),(1943),,(Male),1980,Architecture & Design
Untitled,Lee Bontecou,(American),(1931),,(Female),1997,Drawings
"Study for Sinnorama #1, #2, #3",Jim Shaw,(American),(1952),,(Male),1990,Drawings
"Untitled, no. 67 of 69, from the illustrated book, Album",Louise Bourgeois,(American),(1911),(2010),(Female),1994,Prints & Illustrated Books
TV Antennae,Ben Shahn,(American),(1898),(1969),(Male),1953,Prints & Illustrated Books
The Feeding,Louise Bourgeois,(American),(1911),(2010),(Female),2007,Drawings
Guitar Wolf,Yoshitomo Nara,(Japanese),(1959),,(Male),1992-2000,Drawings
No (2),Louise Bourgeois,(American),(1911),(2010),(Female),1973,Prints & Illustrated Books
Poirier. Sucy-en-Brie,Eugène Atget,(French),(1857),(1927),(Male),1900-1910,Photography
PROVINS (VIEILLE MAISON),Eugène Atget,(French),(1857),(1927),(Male),1923,Photography
"Untitled, plate 6 of 15, from the series, Nature Study",Louise Bourgeois,(American),(1911),(2010),(Female),2009,Prints & Illustrated Books
Donnerstagvorträge im Februar,Otl Aicher (also known as Otto Aicher),(German),(1922),(1991),(Male),c. 1951,Architecture & Design
Plate from Portrait of Antonin Artaud,Lucio Fontana,(Italian),(1899),(1968),(Male),1968,Prints & Illustrated Books
Analogue,Zoe Leonard,(American),(1961),,(Female),1998-2009,Photography
"Yosemite Valley, Clearing Thunderstorm, from Tunnel Esplanade, California",Ansel Adams,(American),(1902),(1984),(Male),c. 1972,Photography
Dying People in the Bush,Thomas Mukarobgwa,(Zimbabwean),(1924),(1999),(Male),(1962),Drawings
Park,Walt Kuhn,(American),(1877),(1949),(Male),1925,Prints & Illustrated Books
"Untitled from the series Six Geometric Figures, Superimposed in Pairs",Sol LeWitt,(American),(1928),(2007),(Male),1977,Prints & Illustrated Books
Pictorial initial L (folio 17 verso) from LE BESTIAIRE,Roger Chastel,(French),(1897),(1981),(Male),1948,Prints & Illustrated Books
"The Park (Le Parc) from L'Estampe moderne, no. 3",G. de Latenay,(French),(1859),(1943),(Male),1897,Prints & Illustrated Books
Abstract Painting,Ad Reinhardt,(American),(1913),(1967),(Male),1963,Painting & Sculpture
Lapeyrouse Wall,Peter Doig,(British),(1959),,(Male),2004,Drawings
New York City,Lee Friedlander,(American),(1934),,(Male),1965,Photography
MEN AT THE TABLE,Leopoldo Méndez,(Mexican),(1902),(1969),(Male),1931,Prints & Illustrated Books
My Blind,Roberto Matta,(Chilean),(1911),(2002),(Male),1946-1947,Painting & Sculpture
"MOUNT SERBÁL, FROM THE WÁDEE FEYRÁN (Plate 2)",Francis Frith,(British),(1822),(1898),(Male),1858-1860,Photography
"Gothic Houses, Salem, Massachusetts",Walker Evans,(American),(1903),(1975),(Male),1932,Photography
"The Battle of the Jews (Der Kampf der Juden) (plate, folio 32) from Das Buch Judith (The Book of Judith)",Lovis Corinth,(German),(1858),(1925),(Male),1910,Prints & Illustrated Books
"Progressive proof of first 3 colors for Plate 4 (supplementary suite, plate 45) from FOUR TALES FROM THE ARABIAN NIGHTS",Marc Chagall,(French),(1887),(1985),(Male),1941-1948,Prints & Illustrated Books
Tafel met stilleven from The Archives: Art Information Centre Peter Van Beveren,Klaas Gubbels,(Dutch),(1934),,(Male),1981,Prints & Illustrated Books
"Texas State Fair, Dallas. (woman sitting on wood curb, young boy in cowboy shirt)",Garry Winogrand,(American),(1928),(1984),(Male),1964,Photography
"Detail of a Frame House in Ossining, New York",Walker Evans,(American),(1903),(1975),(Male),1931,Photography
Benny and Mary Ellen Andrews,Alice Neel,(American),(1900),(1984),(Female),1972,Painting & Sculpture
Sarx,Gérard Titus-Carmel,(French),(1942),,(Male),1977,Prints & Illustrated Books
"PANNA JADVIGA ON A BOAT (in-text plate, page 72) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY",Jules Pascin,(American),(1885),(1930),(Male),1910,Prints & Illustrated Books
Cow,Alexander Calder,(American),(1898),(1976),(Male),1929,Painting & Sculpture
Tailpiece (page 19) from POÈMES,Maurice Denis,(French),(1870),(1943),(Male),1936-1942,Prints & Illustrated Books
The World War,Max Oppenheimer (MOPP),(American),(1885),(1954),(Male),1916,Painting & Sculpture
"Amherst, Massachusetts",Lee Friedlander,(American),(1934),,(Male),1971,Photography
Chocolate Utopian Underground City with Yellow Inner Structure Station with Square Grid under Construction Safety Chrysalis and Abandon Square Habitat with White Expulsion Area and Central White Mine Tunnel Transportation Center,Dannielle Tegeder,(American),(1971),,(Female),2003,Drawings
"Why Should There Not Exist a World Composed of Invisible, Odd, Fantastic, Embryonic Beings? (Pourquoi n'existerait-il pas un monde composé d'êtres invisibles, bizarres, fantastiques, embryonnaires?) (plate) from Le Juré",Odilon Redon,(French),(1840),(1916),(Male),1887,Prints & Illustrated Books
THE CAPSULE from the portfolio APOCALYPSE,Sid Hammer,(American),(1926),(1969),(Male),1961,Prints & Illustrated Books
Plate (page 141) from FLORILÈGE DES AMOURS,Henri Matisse,(French),(1869),(1954),(Male),1941-1948,Prints & Illustrated Books
Transfer Node,Jorge Rigamonti,(Venezuelan),(1940),(2008),(),1966,Architecture & Design
Untitled,Maryan S. Maryan,(American),(1927),(1977),(Male),1967,Prints & Illustrated Books
Pelican Man,Peter Doig,(British),(1959),,(Male),2003,Drawings
"LEF. Zhurnal levogo fronta iskusstv, nos. 2 and 3",Aleksandr Rodchenko,(Russian),(1891),(1956),(Male),1923,Prints & Illustrated Books
Plate (page 205) from LE SATIRICON,Othon Friesz,(French),(1879),(1949),(Male),1948-1949,Prints & Illustrated Books
Zen for Head,Nam June Paik,(American),(1932),(2006),(Male),1962,Fluxus Collection
Coffee Thyme,Sam Gilliam,(American),(1933),,(Male),1977,Painting & Sculpture
RUE DU CHEVALIER-DE-LA-BARRE,Eugène Atget,(French),(1857),(1927),(Male),1924,Photography
"OGV-Blackviolet from Untitled (OGV-Blackviolet, OGV-Blackgreen, and OGV-Blackorange)",Dan Walsh,(American),(1960),,(Male),2007,Prints & Illustrated Books
Untitled from Cuban Sketch Book,Jules Pascin,(American),(1885),(1930),(Male),(c. 1914-1920),Drawings
Untitled,Sam Francis,(American),(1923),(1994),(Male),1984,Prints & Illustrated Books
Das Kind und Seine Welt,Jörg Hamburger,(Swiss),(1935),,(Male),1962,Architecture & Design
Untitled from Poem Posters,Charles Henri Ford,(American),(1908),(2002),(Male),1964-1965,Prints & Illustrated Books
Personal Velocity: Three Portraits,Rebecca Miller,(American),(1962),,(Female),2002,Film
Le Père et les 3 Fils,Louise Bourgeois,(American),(1911),(2010),(Female),1998,Prints & Illustrated Books
Untitled,Gianni Dessi,(Italian),(1955),,(Male),1984,Drawings
"Album cover for Liquid Liquid, Slip In and Out of Phenomenon",Richard McGuire,(American),(1957),,(Male),2008,Architecture & Design
Plate (folio 16) from ESCALES,André Lhote,(French),(1885),(1962),(Male),1920,Prints & Illustrated Books
"Jimmy, Easter Sunday",Jerry Berndt,(American),(1943),(2013),(Male),1983,Photography
Plate (folio 10) from 20 ORIGINALRADIERUNGEN,Karl Bohrmann,(German),(1928),(1998),(Male),1967,Prints & Illustrated Books
"Plate IV (folio 15) from LA BAGUE D'AURORE, Suite",Joan Miró,(Spanish),(1893),(1983),(Male),1957,Prints & Illustrated Books
Plate (folio 32) from Geometric Figures within Geometric Figures,Sol LeWitt,(American),(1928),(2007),(Male),1976,Prints & Illustrated Books
Composition,Lajos D'Ebneth,(Hungarian),(1902),(1982),(Male),1926,Painting & Sculpture
Terry Riley vocal score for Circle the Mountain,Terry Riley,(American),(1935),,(Male),1985,Media and Performance Art
Plate (page 118) from CIRQUE DE L'ÉTOILE FILANTE,Georges Rouault,(French),(1871),(1958),(Male),1926-1938,Prints & Illustrated Books
Exposition d'Œuvres d'Alphonse Lévy,Alphonse Levy,(French),(1843),(1918),(Male),1897,Architecture & Design
"Bièvres, place de l'Eglise",Eugène Atget,(French),(1857),(1927),(Male),1924,Photography
Architecture Panoramas,Jan Dibbets,(Dutch),(1941),,(Male),1971,Photography
Untitled #210,José Antonio Suárez Londoño,(Colombian),(1955),,(Male),2003,Prints & Illustrated Books
Two Mexican Children,Anton Bruehl,(American),(1900),(1982),(Male),1932,Photography
"Sketchbook: El Golea, II",Jean Dubuffet,(French),(1901),(1985),(Male),1948,Drawings
"Seville, Spain",Henri Cartier-Bresson,(French),(1908),(2004),(Male),1933,Photography
Wind Radio from Fluxkit,Joe Jones,(American),(1934),(1993),(Male),1965,Prints & Illustrated Books
Satisfied Man,Kerry James Marshall,(American),(1955),,(Male),2015,Prints & Illustrated Books
Plate (folio 28) from CENTURY OF THE COMMON MAN,Hugo Gellert,(American),(1892),(1985),(Male),1943,Prints & Illustrated Books
Asnova,El Lissitzky,(Russian),(1890),(1941),(Male),1926,Architecture & Design
Calculator,Paulus van Leeuwen,(Dutch),(1955),,(Male),1983,Architecture & Design
"Berlin, die Sinfonie der Grossstadt",Walther Ruttmann,(German),(1887),(1941),(Male),1927,Film
Untitled (page 18) from ENDOCRINOLOGY,Kiki Smith,(American),(1954),,(Female),1997,Prints & Illustrated Books
Shrug of the Shoulder,John Gutmann,(American),(1905),(1998),(Male),1935,Photography
"Campesino, Venezuela",Dorothea Lange,(American),(1895),(1965),(Female),1960,Photography
"Untitled, Programme 2 from Ian Breakwell's Continuous Diary",Ian Breakwell,(British),(1943),(2005),(Male),1986,Media and Performance Art
A Door,Vladimir Borissovitch Yankilevsky,(Russian),(1938),,(),1972,Photography
Rain Falling on Water,Louise Bourgeois,(American),(1911),(2010),(Female),2003,Prints & Illustrated Books
Poster of the French National Railroad,Album-miscellaneous,(Various),,,(),1900-1943,Architecture & Design
Fireworks on the Night of Longchamp,Brassaï (Gyula Halász),(French),(1899),(1984),(Male),1936,Photography
"Head with Pipe, E.N. (Kopf mit Pfeife, E.N.)",Emil Nolde,(German),(1867),(1956),(Male),(1907),Prints & Illustrated Books
"Untitled, plate 1 of 5, from the illustrated book, The Laws of Nature",Louise Bourgeois,(American),(1911),(2010),(Female),2000-2001,Prints & Illustrated Books
Untitled from Coyote Stories,Chris Burden,(American),(1946),(2015),(Male),2005,Prints & Illustrated Books
Postal Dossier (Dossier postale),Alighiero Boetti,(Italian),(1940),(1994),(Male),1969-1970,Prints & Illustrated Books
The saw mill: From the raft to the saw,Frances Benjamin Johnston,(American),(1864),(1952),(Female),1899-1900,Photography
Black Dress from S.M.S. No. 1,James Lee Byars,(American),(1932),(1997),(Male),1968,Prints & Illustrated Books
Spectacles,Jean Dubuffet,(French),(1901),(1985),(Male),1961,Prints & Illustrated Books
"Sculpture Vivante (Living Sculpture), Festival of Misfits, Gallery One, London, October 23- November 8, 1962",Ben Vautier,(French),(1935),,(Male),1962,Prints & Illustrated Books
In Tibet,Günter Haese,(German),(1924),,(Male),1964,Painting & Sculpture
"Plate 5 from L'AVANGUARDIA INTERNAZIONALE, Volume 2/L'AVANT-GARDE INTERNATIONALE, Volume 2/THE INTERNATIONAL AVANT-GARDE, Volume 2",Guy Harloff,(French),(1933),(1991),(Male),1962,Prints & Illustrated Books
"Stray Dog, Misawa",Daido Moriyama,(Japanese),(1938),,(Male),1971,Photography
HÔTEL DES AMBASSADEURS. 47 RUE VIEILLE-DU-TEMPLE,Eugène Atget,(French),(1857),(1927),(Male),1900,Photography
"Invitation to performance at Mobilia, Denmark, July 24-26, 1964",Arthur Köpcke,(German),(1928),(1977),(Male),1964,Fluxus Collection
BLACK VULTURE,Alistair Macready Bell,(Canadian),(1913),(1997),(Male),(1958),Prints & Illustrated Books
PH Artichoke Lamp,Poul Henningsen,(Danish),(1894),(1967),(Male),1958,Architecture & Design
"MOB OF PEASANTS, plate XXVIII (facing page 114) from LES ÂMES MORTES",Marc Chagall,(French),(1887),(1985),(Male),1923-1948,Prints & Illustrated Books
Untitled,Richard Wright,(American),(1960),,(Male),2004,Prints & Illustrated Books
Partial Truth,Bruce Nauman,(American),(1941),,(Male),1997,Prints & Illustrated Books
Shino-Dan: Kono Yoh Ni Watachi Wa Kiita,Koichi Sato,(Japanese),(1944),,(Male),1976,Architecture & Design
Plate 7 (folio 27) from LE PETIT CHAPERON ROUGE,Edgard Tytgat,(Belgian),(1879),(1957),(Male),1913-1918,Prints & Illustrated Books
Pavillon du Hanovre. Boulevard des Italiens 33,Eugène Atget,(French),(1857),(1927),(Male),1903,Photography
Keeping Together Manifestation,Milan Knížák,(Czech),(1940),,(Male),1967,Prints & Illustrated Books
Hook and Eye,Alan Turner,(American),(1943),,(Male),1990,Prints & Illustrated Books
Predlohy pro odborne kresleni typograficke,Zdenek Rossmann,(Czech),(1905),(1984),(Male),1934,Architecture & Design
Reims Cathedral (exterior detail),Unknown,(),,,(),1876,Photography
North Africa,Rudolf Kügler,(German),(1921),(2013),(Male),1936,Prints & Illustrated Books
Good Time Charley,Jasper Johns,(American),(1930),,(Male),1972,Prints & Illustrated Books
PROFILE,Edward Steichen,(American),(1879),(1973),(Male),1904,Photography
Lumumba: Death of a Prophet,Raoul Peck,(Haitian),(1953),,(Male),1992,Film
Headpiece (page 91) from POÈMES,Maurice Denis,(French),(1870),(1943),(Male),1936-1942,Prints & Illustrated Books
PYLON GATEWAY AT MEDINET-HABOO,Francis Frith,(British),(1822),(1898),(Male),1857,Photography
"American System-Built Houses for The Richards Company project, Milwaukee, Wisconsin (Plans)",Frank Lloyd Wright,(American),(1867),(1959),(Male),1915-1917,Architecture & Design
Plate (folio 12 verso) from DER MOSAIKELEFANT UND ANDERE GEDICHTE,Bernhard Luginbühl,(Swiss),(1929),(2011),(Male),1984,Prints & Illustrated Books
"Church and 2nd Streets, Easton, Pennsylvania, June 20, 1974",Stephen Shore,(American),(1947),,(Male),1974,Photography
Ornamental initial Q (page 13) from CANTICUM CANTICORUM SALOMONIS,Eric Gill,(British),(1882),(1940),(Male),1931,Prints & Illustrated Books
St. Louis Symphony,Saul Steinberg,(American),(1914),(1999),(Male),1974,Architecture & Design
"Brick Building in the Shadow of a Grain Elevator - Cashion, Oklahoma",Frank Gohlke,(American),(1942),,(Male),1973-1974,Photography
Landscape with Steer,Jackson Pollock,(American),(1912),(1956),(Male),c. 1936-1937,Prints & Illustrated Books
Standing Female Figure,Max Weber,(American),(1881),(1961),(Male),1951-1952,Prints & Illustrated Books
Untitled III,Joseph Beuys,(German),(1921),(1986),(Male),1948-1981,Painting & Sculpture
Specifications Coordinate System and Membrane Stresses for a Spherical and Cylindrical Shell,Yukihisa Isobe,(Japanese),(1936),,(Male),1968,Prints & Illustrated Books
"Lotus, Mount Kisco, New York",Edward Steichen,(American),(1879),(1973),(Male),1915,Photography
"Duplicate of plate from page 42 (supplementary suite, plate 8) from LES DAMNATIONS",Roberto Matta,(Chilean),(1911),(2002),(Male),1966,Prints & Illustrated Books
Title page from the portfolio Six Latin Writers and Poets,Cy Twombly,(American),(1928),(2011),(Male),1975-1976,Prints & Illustrated Books
CHÂTEAU DE CHATOU,Eugène Atget,(French),(1857),(1927),(Male),1911,Photography
Phamokate from Break the Silence!,Osiah Masekoameng,(South African),,,(Male),2000,Prints & Illustrated Books
"The Brown Sisters, Cambridge, Massachusetts",Nicholas Nixon,(American),(1947),,(Male),1989,Photography
"Plate 7 of 9, from the illustrated book, He Disappeared into Complete Silence",Louise Bourgeois,(American),(1911),(2010),(Female),1946-1947,Prints & Illustrated Books
"Duplicate of in-text plate and initial A from page 61 (supplementary suite, plate 24) from LA BELLE ENFANT",Raoul Dufy,(French),(1877),(1953),(Male),1930,Prints & Illustrated Books
PIPALIA TANK,Unknown,(),,,(),1899,Photography
"Esquire Magazine, Issue no. 424, March 1969",George Lois,(American),(1931),,(),1969,Architecture & Design
Plate (folio 26) from CENTURY OF THE COMMON MAN,Hugo Gellert,(American),(1892),(1985),(Male),1943,Prints & Illustrated Books
Untitled from Andy Warhol Doesn't Play Second Base for the Chicago Cubs,Kelley Walker,(American),(1969),,(Male),2010,Prints & Illustrated Books
Secolo XX No. 10,Fortunato Depero,(Italian),(1892),(1960),(Male),1929,Drawings
Title page from POÈMES DE BRANDEBOURG,Jacques Villon,(French),(1875),(1963),(Male),1947,Prints & Illustrated Books
Head #12,Lucas Samaras,(American),(1936),,(Male),1981,Drawings
"Aux Vieilles Tapisseries: 44 Sentences de Louise Bourgeois, text 30 of 44",Louise Bourgeois,(American),(1911),(2010),(Female),2005,Prints & Illustrated Books
Plate 3 (folio 14) from LECTURE,Zao Wou-ki,(French),(1920),(2013),(Male),1950,Prints & Illustrated Books
Kracked,Ed Moses,(American),(1926),(2018),(Male),1993,Prints & Illustrated Books
"Morning Glory Vine, Early Morning Light, Tuscaloosa, Alabama",William Christenberry,(American),(1936),(2016),(Male),2004,Photography
First Illustration for Scene 5 (plate facing page 54) from Der Mensch ist kein Haustier (Man Is Not a Domestic Animal),Max Beckmann,(German),(1884),(1950),(Male),1937,Prints & Illustrated Books
Etching #5,Hans Hartung,(French),(1904),(1989),(Male),(1953),Prints & Illustrated Books
"Untitled, plate 4 of 7, from the portfolio, Metamorfosis",Louise Bourgeois,(American),(1911),(2010),(Female),1999,Prints & Illustrated Books
Head,George Griffin,(American),,,(),1975,Film
Untitled. (Nazi parade),Michael Schmidt,(German),(1945),(2014),(Male),1991-1994,Photography
HÔTEL GUSTIL. 58 RUE DE VAUGIRARD,Eugène Atget,(French),(1857),(1927),(Male),1909,Photography
David,Philip-Lorca diCorcia,(American),(1951),,(Male),1990,Photography
A Trip to the Moon (Le Voyage dans la lune),Georges Méliès,(French),(1861),(1938),(Male),1902,Film
"Untitled, plate 8 of 9, from the portfolio, Topiary: The Art of Improving Nature",Louise Bourgeois,(American),(1911),(2010),(Female),1998,Prints & Illustrated Books
"Flower table, LR 705 (Plan, frontal and lateral elevations)",Lilly Reich,(German),(1885),(1947),(Female),1934,Architecture & Design
"Untitled from Eyes, Dark",Lynne Yamamoto,(American),(1961),,(Female),1999,Prints & Illustrated Books
Hiding Face,Mark Cohen,(American),(1943),,(Male),1975,Photography
Air cushion,Roman Signer,(Swiss),(1938),,(Male),1975,Media and Performance Art
Büro,Theo H. Ballmer,(Swiss),(1902),(1965),(Male),1928,Architecture & Design
Untitled (Study for Untitled),Louise Bourgeois,(American),(1911),(2010),(Female),1999,Prints & Illustrated Books
Untitled from Landscape Allegories,Julie Mehretu,(American),(1970),,(Female),2004,Prints & Illustrated Books
Luxembourg,Eugène Atget,(French),(1857),(1927),(Male),1923-1925,Photography
Trianon,Eugène Atget,(French),(1857),(1927),(Male),1910-1914,Photography
Residents in Munich/Off Beat Nacht,Residents,(American),(1972),,(),1989,Film
Self-Playing Violin,Laurie Anderson,(American),(1947),,(Female),1974,Media and Performance Art
Atomic Head,Isamu Noguchi,(American),(1904),(1988),(Male),1957,Painting & Sculpture
Nasturtiums,Eugène Atget,(French),(1857),(1927),(Male),1871-1927,Photography
Email to Kinmont from Carlos Basualdo,Ben Kinmont,(American),(1963),,(Male),2000,Prints & Illustrated Books
Untitled fromDream Hospital,Robert Therrien,(American),(1947),,(Male),1995,Prints & Illustrated Books
Draped Reclining Figure,Henry Moore,(British),(1898),(1986),(Male),1951,Prints & Illustrated Books
Na bor'bu s khuliganstvom v literature,Gustav Klutsis,(Latvian),(1895),(1938),(Male),1926,Prints & Illustrated Books
Tailpiece (page 216) from SAINTE MONIQUE,Pierre Bonnard,(French),(1867),(1947),(Male),1920-1930,Prints & Illustrated Books
Diamond Chroma from New York Ten,Richard Anuszkiewicz,(American),(1930),,(Male),1965,Prints & Illustrated Books
"Wolf House, Gubin, Poland (Elevation, plan, section)",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1925-1927,Architecture & Design
Te Atua (The Gods) from Noa Noa (Fragrant Scent),Paul Gauguin,(French),(1848),(1903),(Male),1893-1894,Prints & Illustrated Books
Prelude to 1958-59 season at Kootz Gallery,Elaine Lustig Cohen,(American),(1927),(2016),(Female),1958,Architecture & Design
