company,rank,revenues,revenue_change,profits,assets,profit_change,ceo,industry,sector,previous_rank,country,hq_location,website,years_on_global_500_list,employees,total_stockholder_equity
Accenture,305,34798,5.7,4111.9,20609,34.7,Pierre Nanterme,Information Technology Services,Technology,312,Ireland,"Dublin, Ireland",http://www.accenture.com,16,384000,7555
Repsol,306,34485,-12.5,1919.7,68392,,Josu Jon Imaz San Miguel,Petroleum Refining,Energy,250,Spain,"Madrid, Spain",http://www.repsol.com,23,24396,32553
China Vanke,307,34458,17.5,3164.5,119555,9.8,Yu Liang,Real estate,Financials,356,China,"Shenzhen, China",http://www.vanke.com,2,58280,16324
Publix Super Markets,308,34274,5.1,2025.7,17464,3.1,Randall T. Jones Sr.,Food and Drug Stores,Food & Drug Stores,317,USA,"Lakeland, FL",http://www.publix.com,23,191000,13473
Edeka Zentrale,309,34193,6.8,356.0,6921,28.3,Markus Mosa,Wholesalers: Food and Grocery,Wholesalers,321,Germany,"Hamburg, Germany",http://www.edeka-verbund.de,19,351500,1729
J. Sainsbury,310,34149,-3.5,490.9,24674,-30.8,Michael Coupe,Food and Drug Stores,Food & Drug Stores,288,Britain,"London, Britain",http://www.j-sainsbury.co.uk,23,118700,7971
Alimentation Couche-Tard,311,34145,-1.1,1193.5,12304,27.9,Brian P. Hannasch,Food and Drug Stores,Food & Drug Stores,301,Canada,"Laval, Quebec, Canada",http://www.couche-tard.com,4,105000,5044
China Energy Engineering Group,312,33930,2.1,421.0,44181,-22.0,Wang Jianping,"Engineering, Construction",Engineering & Construction,309,China,"Beijing, China",http://www.ceec.net.cn,4,169173,5140
Hyundai Heavy Industries,313,33881,-17.1,469.8,40783,,Hwan-Goo Kang,Industrial Machinery,Industrials,237,South Korea,"Ulsan, South Korea",http://www.hyundaiheavy.com,11,30767,13197
ABB,314,33828,-4.7,1899.0,39499,-1.8,Ulrich Spiesshofer,Industrial Machinery,Industrials,286,Switzerland,"Zurich, Switzerland",http://www.abb.com,23,132300,13395
American Express,315,33823,-1.8,5408.0,158893,4.7,Kenneth I. Chenault,Diversified Financials,Financials,302,USA,"New York, NY",http://www.americanexpress.com,23,56400,20501
Rio Tinto Group,316,33781,-3.0,4617.0,89263,,Jean-Sebastien Jacques,"Mining, Crude-Oil Production",Energy,296,Britain,"London, Britain",http://www.riotinto.com,12,51029,39290
SNCF Mobilites,317,33747,3.8,565.1,39993,,Guillaume Pepy,Railroads,Transportation,319,France,"St. Denis, France",http://www.sncf.com,23,193718,4696
CRRC,318,33739,-10.8,1700.3,48681,-9.6,Liu Hualong,Industrial Machinery,Industrials,266,China,"Beijing, China",http://www.crrcgc.cc,2,183061,15088
CK Hutchison Holdings,319,33475,47.4,4252.4,130721,-72.2,"Li Tzar Kuoi, Victor",Specialty Retailers,Retailing,473,China,"Hong Kong, China",http://www.ckh.com.hk,2,290000,54777
Jizhong Energy Group,320,33366,-11.8,-153.9,30819,,Yang GuoZhan,"Mining, Crude-Oil Production",Energy,267,China,"Xingtai, China",http://www.jznyjt.com,7,127298,2042
TJX,321,33184,7.2,2298.2,12884,0.9,Ernie L. Herrman,Specialty Retailers,Retailing,338,USA,"Framingham, MA",http://www.tjx.com,16,235000,4511
Xinxing Cathay International Group,322,33174,1.9,448.2,18705,-1.6,Liu Mingzhong,Metals,Materials,318,China,"Beijing, China",http://www.xxcig.com,6,59429,4585
Hyundai Mobis,323,32972,-0.7,2617.8,34541,-3.1,Young-Deuk Lim,Motor Vehicles and Parts,Motor Vehicles & Parts,310,South Korea,"Seoul, South Korea",http://www.mobis.co.kr,6,29499,23596
Aisin Seiki,324,32879,21.6,1168.9,29964,39.9,Yasumori Ihara,Motor Vehicles and Parts,Motor Vehicles & Parts,393,Japan,"Kariya, Japan",http://www.aisin.com,16,99389,11098
Rite Aid,325,32845,6.9,4.1,11594,-97.6,John T. Standley,Food and Drug Stores,Food & Drug Stores,340,USA,"Camp Hill, PA",http://www.riteaid.com,19,70430,614
Shaanxi Yanchang Petroleum (Group),326,32652,2.8,-22.6,45552,,He Jiuchang,"Mining, Crude-Oil Production",Energy,325,China,"Xi'an, China",http://www.sxycpc.com,5,134134,14063
DZ Bank,327,32636,4.6,1623.4,537278,3.4,Wolfgang Kirsch,Banks: Commercial and Savings,Financials,334,Germany,"Frankfurt, Germany",http://www.dzbank.com,23,28264,21160
UniCredit Group,328,32539,-5.9,-13038.0,906489,-793.7,Jean Pierre Mustier,Banks: Commercial and Savings,Financials,300,Italy,"Milan, Italy",http://www.unicreditgroup.eu,22,117659,41484
China Everbright Group,329,32461,-1.3,1877.8,627701,-11.2,Tang Shuangning,Banks: Commercial and Savings,Financials,313,China,"Beijing, China",http://www.ebchina.com,3,61400,15661
Daiwa House Industry,330,32421,21.9,1861.5,31917,115.8,Takeo Higuchi,"Engineering, Construction",Engineering & Construction,402,Japan,"Osaka, Japan",http://www.daiwahouse.co.jp,13,60539,10761
Nike,331,32376,5.8,3760.0,21396,14.9,Mark G. Parker,Apparel,Apparel,343,USA,"Beaverton, OR",http://www.nike.com,11,70700,12258
Iberdrola,332,32308,-7.3,2991.3,112536,11.4,Jose Ignacio Sanchez Galan,Utilities,Energy,295,Spain,"Bilbao, Spain",http://www.iberdrola.com,13,28389,38695
Commonwealth Bank of Australia,333,32287,-14.3,6712.9,694565,-10.9,Ian M. Narev,Banks: Commercial and Savings,Financials,269,Australia,"Sydney, Australia",http://www.commbank.com.au,13,45129,44816
Sinomach,334,32237,-8.2,502.0,39142,-34.5,Ren Hongbin,Industrial Machinery,Industrials,293,China,"Beijing, China",http://www.sinomach.com.cn,7,115390,8930
Fresenius,335,32161,4.9,1761.6,48984,16.9,Stephan Sturm,Health Care: Medical Facilities,Health Care,341,Germany,"Bad Homburg, Germany",http://www.fresenius.com,8,232873,13186
China Aerospace Science & Technology,336,32094,5.0,1996.2,55721,7.7,Lei Fanpei,Aerospace and Defense,Aerospace & Defense,344,China,"Beijing, China",http://www.spacechina.com,3,170357,21440
Shaanxi Coal & Chemical Industry,337,31926,5.3,-254.4,64151,,Yang Zhaoqian,"Mining, Crude-Oil Production",Energy,347,China,"Xi'an, China",http://www.shccig.com,3,123559,5769
China Evergrande Group,338,31828,50.2,2368.8,194384,-4.3,Hui Kayan,Real estate,Financials,496,China,"Guangzhou, China",http://www.evergrande.com,2,89250,22618
Jiangxi Copper,339,31680,0.4,20.4,16108,,Li Baomin,"Mining, Crude-Oil Production",Energy,328,China,"Guixi, China",http://www.jxcc.com,5,25460,2967
Sompo Holdings,340,31559,16.4,1535.7,107092,15.5,Kengo Sakurada,Insurance: Property and Casualty (Stock),Financials,388,Japan,"Tokyo, Japan",http://www.sompo-hd.com,21,47430,8424
China Poly Group,341,31508,18.1,744.1,95657,-11.4,Zhang Zhengao,Real estate,Financials,401,China,"Beijing, China",http://www.poly.com.cn,3,76425,7676
Chubb,342,31469,65.7,4135.0,159786,45.9,Evan G. Greenberg,Insurance: Property and Casualty (Stock),Financials,0,Switzerland,"Zurich, Switzerland",http://www.chubb.com,1,31000,48275
Zhejiang Geely Holding Group,343,31430,19.5,1265.7,29749,341.6,Li Shufu,Motor Vehicles and Parts,Motor Vehicles & Parts,410,China,"Hangzhou, China",http://www.geely.com,6,60712,5896
Exelon,344,31360,6.5,1134.0,114904,-50.0,Christopher M. Crane,Utilities,Energy,355,USA,"Chicago, IL",http://www.exeloncorp.com,14,34396,25837
General Dynamics,345,31353,-0.4,2955.0,32872,-0.3,Phebe N. Novakovic,Aerospace and Defense,Aerospace & Defense,330,USA,"Falls Church, VA",http://www.generaldynamics.com,17,98800,10976
BT Group,346,31333,9.3,2484.6,52972,-36.2,Gavin E. Patterson,Telecommunications,Telecommunications,369,Britain,"London, Britain",http://www.btplc.com,23,106400,10420
Canon,347,31271,-0.4,1385.0,44062,-23.9,Fujio Mitarai,"Computers, Office Equipment",Technology,332,Japan,"Tokyo, Japan",http://www.canon.com,23,197673,23865
Wuchan Zhongda Group,348,31185,7.3,324.3,11018,47.2,Wang Tingge,Trading,Wholesalers,359,China,"Hangzhou, China",http://www.wuchanzhongda.cn,7,18150,2900
Mitsubishi Chemical Holdings,349,31158,5.6,1442.1,40064,237.1,Hitoshi Ochi,Chemicals,Chemicals,324,Japan,"Tokyo, Japan",http://www.mitsubishichem-hd.co.jp,23,69291,9796
BHP Billiton,350,30912,-40.9,-6385.0,118953,-434.3,Andrew Mackenzie,"Mining, Crude-Oil Production",Energy,168,Australia,"Melbourne, Australia",http://www.bhpbilliton.com,23,26827,54290
Toronto-Dominion Bank,351,30855,2.3,6646.1,878268,4.5,Bharat B. Masrani,Banks: Commercial and Savings,Financials,350,Canada,"Toronto, Ontario, Canada",http://www.td.com,18,81233,54148
Subaru,352,30696,14.0,2605.8,24794,-28.4,Yasuyuki Yoshinaga,Motor Vehicles and Parts,Motor Vehicles & Parts,395,Japan,"Tokyo, Japan",http://www.subaru.co.jp,15,36668,13285
Bridgestone,353,30678,-2.0,2441.3,31901,3.9,Masaaki Tsuya,Motor Vehicles and Parts,Motor Vehicles & Parts,333,Japan,"Tokyo, Japan",http://www.bridgestone.com,23,143616,20268
Credit Suisse Group,354,30588,-13.0,-2750.7,806950,,Tidjane Thiam,Banks: Commercial and Savings,Financials,292,Switzerland,"Zurich, Switzerland",http://www.credit-suisse.com,23,47170,41237
China Aerospace Science & Industry,355,30582,9.7,1443.7,36999,-1.8,Gao Hongwei,Aerospace and Defense,Aerospace & Defense,381,China,"Beijing, China",http://www.casic.com.cn,2,148682,13654
JFE Holdings,356,30539,6.8,627.0,38920,123.6,Eiji Hayashida,Metals,Materials,371,Japan,"Tokyo, Japan",http://www.jfe-holdings.co.jp,15,60439,15632
Mizuho Financial Group,357,30390,13.5,5570.1,1799736,-0.3,Yasuhiro Sato,Banks: Commercial and Savings,Financials,399,Japan,"Tokyo, Japan",http://www.mizuho-fg.co.jp,17,59179,62843
Gilead Sciences,358,30390,-6.9,13501.0,56977,-25.4,John F. Milligan,Pharmaceuticals,Health Care,316,USA,"Foster City, CA",http://www.gilead.com,3,9000,18887
CHS,359,30347,-12.2,424.2,17318,-45.7,Jay D. Debertin,Food Production,"Food, Beverages & Tobacco",299,USA,"Inver Grove Heights, MN",http://www.chsinc.com,10,12157,7852
Bharat Petroleum,360,30316,4.2,1300.5,16801,6.7,D. Rajkumar,Petroleum Refining,Energy,358,India,"Mumbai, India",http://www.bharatpetroleum.in,14,13395,4747
3M,361,30109,-0.5,5050.0,32906,4.5,Inge G. Thulin,Miscellaneous,Industrials,348,USA,"St. Paul, MN",http://www.3m.com,23,91584,10298
China Electronics,362,30010,-4.8,321.9,36575,82.6,Rui Xiaowu,"Electronics, Electrical Equip.",Technology,329,China,"Beijing, China",http://www.cec.com.cn,7,144659,4831
CRH,363,29973,14.3,1374.6,33320,71.2,Albert Manifold,"Building Materials, Glass",Materials,411,Ireland,"Dublin, Ireland",http://www.crh.com,14,86778,14654
China State Shipbuilding,364,29877,-1.0,367.6,40773,-16.1,Wu Qiang,Industrial Machinery,Industrials,349,China,"Beijing, China",http://www.cssc.net.cn,2,68025,9164
Jiangsu Shagang Group,365,29862,-8.8,352.1,23720,148.5,Shen Wenrong,Metals,Materials,314,China,"Zhangjiagang, China",http://www.shasteel.cn,9,35133,5584
China COSCO Shipping,366,29743,29.5,1489.0,94792,30.1,Xu Lirong,Shipping,Transportation,465,China,"Shanghai, China",http://www.coscoshipping.com,10,106478,24148
Mazda Motor,367,29665,4.5,865.5,22660,-22.7,Masamichi Kogai,Motor Vehicles and Parts,Motor Vehicles & Parts,373,Japan,"Hiroshima, Japan",http://www.mazda.com,23,48849,8455
State Power Investment,368,29493,-3.7,436.6,126068,50.9,Wang Binghua,Energy,Energy,342,China,"Beijing, China",http://www.spic.com.cn,6,127343,8477
Taiwan Semiconductor Manufacturing,369,29388,10.6,10283.7,58535,7.8,Mark Liu,Semiconductors and Other Electronic Components,Technology,403,Taiwan,"Hsinchu, Taiwan",http://www.tsmc.com,3,46968,42174
Vale,370,29363,14.7,3982.0,99014,,Fabio Schvartsman,"Mining, Crude-Oil Production",Energy,417,Brazil,"Rio de Janeiro, Brazil",http://www.vale.com,11,73062,39042
Time Warner,371,29318,4.3,3926.0,65966,2.4,Jeffrey L. Bewkes,Entertainment,Media,376,USA,"New York, NY",http://www.timewarner.com,16,25000,24335
Shandong Energy Group,372,29299,16.6,39.2,39887,,Li Weimin,"Mining, Crude-Oil Production",Energy,426,China,"Jinan , China",http://www.snjt.com,6,179689,6575
Suzuki Motor,373,29252,10.4,1476.2,27969,51.9,Toshihiro Suzuki,Motor Vehicles and Parts,Motor Vehicles & Parts,405,Japan,"Hamamatsu, Japan",http://www.globalsuzuki.com,23,62992,10318
LyondellBasell Industries,374,29183,-10.9,3836.0,23442,-14.3,Bhavesh V. Patel,Chemicals,Chemicals,315,Netherlands,"Rotterdam, Netherlands",http://www.lyb.com,10,13000,6048
Royal Philips,375,29003,1.1,1601.3,34068,123.8,Frans A. van Houten,Medical Products and Equipment,Health Care,368,Netherlands,"Amsterdam, Netherlands",http://www.philips.com,23,114731,13289
Charter Communications,376,29003,197.3,3522.0,149067,,Thomas M. Rutledge,Telecommunications,Telecommunications,0,USA,"Stamford, CT",http://www.charter.com,1,91500,40139
Medtronic,377,28833,42.3,3538.0,99782,32.3,Omar S. Ishrak,Medical Products and Equipment,Health Care,0,Ireland,"Dublin, Ireland",http://www.medtronic.com,1,98017,52063
Northwestern Mutual,378,28799,2.4,818.0,250441,0.4,John E. Schlifske,"Insurance: Life, Health (Mutual)",Financials,377,USA,"Milwaukee, WI",http://www.northwesternmutual.com,23,5646,20226
L’Oreal,379,28572,2.0,3434.5,37577,-6.1,Jean-Paul Agon,Household and Personal Products,Household Products,378,France,"Clichy, France",http://www.loreal.com,23,89331,25840
Dalian Wanda Group,380,28483,4.0,110.3,152701,-95.5,Wang Jianlin,Real estate,Financials,385,China,"Beijing, China",http://www.wanda-group.com,2,155905,17237
Medipal Holdings,381,28277,12.1,267.7,13696,4.5,Shuichi Watanabe,Wholesalers: Health Care,Wholesalers,424,Japan,"Tokyo, Japan",http://www.medipal.co.jp,15,15745,3607
China Huadian,382,28204,-10.3,360.6,112115,-70.3,Zhao Jianguo,Utilities,Energy,331,China,"Beijing, China",http://www.chd.com.cn,6,107000,7947
AIA Group,383,28196,21.1,4164.0,185074,54.7,Ng Keng Hooi,"Insurance: Life, Health (stock)",Financials,456,China,"Hong Kong, China",http://www.aia.com,3,20000,34984
Hindustan Petroleum,384,28166,-2.3,1228.1,12370,63.4,Mukesh Kumar Surana,Petroleum Refining,Energy,367,India,"Mumbai, India",http://www.hindustanpetroleum.com,14,10422,3245
Migros Group,385,28155,-1.2,693.3,62536,-16.7,Herbert Bolliger,Food and Drug Stores,Food & Drug Stores,372,Switzerland,"Zurich, Switzerland",http://www.migros.ch,23,77704,17132
Air France-KLM Group,386,27920,-3.4,875.8,24185,569.1,Jean-Marc Janaillac,Airlines,Transportation,363,France,"Paris, France",http://www.airfranceklm.com,21,82175,1354
Compass Group,387,27837,2.5,1408.5,13693,5.0,Richard J. Cousins,Food Services,"Hotels, Restaurants & Leisure",387,Britain,"Chertsey, Britain",http://www.compass-group.com,16,527180,3254
Schlumberger,388,27810,-21.6,-1687.0,77956,-181.4,Paal Kibsgaard,Oil & Gas Equipment Services,Energy,287,USA,"Houston, TX",http://www.slb.com,17,100000,41078
Kansai Electric Power,389,27792,2.8,1299.3,61513,10.8,Shigeki Iwane,Utilities,Energy,391,Japan,"Osaka, Japan",http://www.kepco.co.jp,23,32666,11205
Quanta Computer,390,27715,-12.7,469.3,18229,-16.4,Barry Lam,"Computers, Office Equipment",Technology,326,Taiwan,"Taoyuan, Taiwan",http://www.quantatw.com,12,92698,4123
Westpac Banking,391,27704,-10.8,5477.0,642083,-12.7,Brian C. Hartzer,Banks: Commercial and Savings,Financials,336,Australia,"Sydney, Australia",http://www.westpac.com.au,13,35280,44468
Coop Group,392,27669,2.8,482.1,18369,11.5,Joos Sutter,Food and Drug Stores,Food & Drug Stores,396,Switzerland,"Basel, Switzerland",http://www.coop.ch,8,73451,8250
Facebook,393,27638,54.2,10217.0,64961,177.0,Mark Zuckerberg,Internet Services and Retailing,Technology,0,USA,"Menlo Park, CA",http://www.facebook.com,1,17048,59194
Travelers Cos.,394,27625,3.1,3014.0,100245,-12.4,Alan D. Schnitzer,Insurance: Property and Casualty (Stock),Financials,397,USA,"New York, NY",http://www.travelers.com,14,30900,23221
Capital One Financial,395,27519,9.6,3751.0,357033,-7.4,Richard D. Fairbank,Banks: Commercial and Savings,Financials,430,USA,"McLean, VA",http://www.capitalone.com,7,47300,47514
Twenty-First Century Fox,396,27326,-5.7,2755.0,48365,-66.8,James R. Murdoch,Entertainment,Media,360,USA,"New York, NY",http://www.21cf.com,23,21500,13661
China Guodian,397,27315,-10.5,268.7,114611,-67.2,Qiao Baoping,Energy,Energy,345,China,"Beijing, China",http://www.cgdc.com.cn,8,124056,7496
LafargeHolcim,398,27308,11.4,1817.9,68521,,Eric Olsen,"Building Materials, Glass",Materials,438,Switzerland,"Jona, Switzerland",http://www.lafargeholcim.com,9,90903,30337
Schneider Electric,399,27307,-7.6,1935.2,44137,24.0,Jean-Pascal Tricoire,"Electronics, Electrical Equip.",Technology,354,France,"Rueil-Malmaison, France",http://www.schneider-electric.com,16,143901,21614
China Electronics Technology Group,400,27292,3.3,1611.6,35898,-1.5,Xiong Qun Li,Aerospace and Defense,Aerospace & Defense,408,China,"Beijing, China",http://www.cetc.com.cn,2,158064,15895
USAA,401,27131,11.4,1779.1,147290,-21.7,Stuart Parker,Insurance: Property and Casualty (Stock),Financials,444,USA,"San Antonio, TX",http://www.usaa.com,4,29943,28840
World Fuel Services,402,27016,-11.1,126.5,5413,-27.5,Michael J. Kasbar,Energy,Energy,346,USA,"Miami, FL",http://www.wfscorp.com,6,5000,1925
Phoenix Pharmahandel,403,26976,5.2,135.4,9292,-39.5,Oliver Windholz,Wholesalers: Health Care,Wholesalers,416,Germany,"Mannheim, Germany",http://www.phoenixgroup.eu,7,26611,2732
Veolia Environnement,404,26972,-2.6,423.6,40022,-15.2,Antoine Frerot,Utilities,Energy,382,France,"Paris, France",http://www.veolia.com,15,156225,8173
National Australia Bank,405,26958,-21.1,259.0,594967,-94.8,Andrew G. Thorburn,Banks: Commercial and Savings,Financials,304,Australia,"Docklands, Australia",http://www.nab.com.au,22,34263,39244
Philip Morris International,406,26685,-0.4,6967.0,36851,1.4,Andre Calantzopoulos,Tobacco,"Food, Beverages & Tobacco",398,USA,"New York, NY",http://www.pmi.com,9,79500,-12688
Deere,407,26644,-7.7,1523.9,57981,-21.4,Samuel R. Allen,Construction and Farm Machinery,Industrials,364,USA,"Moline, IL",http://www.johndeere.com,23,56767,6520
East Japan Railway,408,26587,11.3,2565.0,71009,25.5,Tetsuro Tomita,Railroads,Transportation,447,Japan,"Tokyo, Japan",http://www.jreast.co.jp,23,85834,23253
Achmea,409,26494,2.8,-423.5,98096,-199.7,Willem A.J. van Duin,"Insurance: Life, Health (Mutual)",Financials,413,Netherlands,"Zeist, Netherlands",http://www.achmea.nl,4,14921,10308
Kraft Heinz,410,26487,44.4,3632.0,120480,472.9,Bernardo Hees,Food Consumer Products,"Food, Beverages & Tobacco",0,USA,"Pittsburgh, PA",http://www.kraftheinzcompany.com,3,41000,57358
Cathay Life Insurance,411,26292,14.9,934.0,172442,-22.5,Ming-Ho Hsiung,"Insurance: Life, Health (stock)",Financials,468,Taiwan,"Taipei, Taiwan",http://www.cathaylife.com.tw,16,36578,11212
Tech Data,412,26235,-0.5,195.1,7932,-26.6,Robert M. Dutkowsky,Wholesalers: Electronics and Office Equipment,Wholesalers,409,USA,"Clearwater, FL",http://www.techdata.com,19,9500,2170
Samsung Life Insurance,413,26222,7.0,1770.3,219157,65.3,Chang-Soo Kim,"Insurance: Life, Health (stock)",Financials,439,South Korea,"Seoul, South Korea",http://www.samsunglife.com,21,5284,22064
Avnet,414,26219,-6.1,506.5,11240,-11.4,William J. Amelio,Wholesalers: Electronics and Office Equipment,Wholesalers,380,USA,"Phoenix, AZ",http://www.avnet.com,7,17700,4691
Nokia,415,26113,73.4,-847.1,47354,-131.0,Rajeev Suri,Network and Other Communications Equipment,Technology,0,Finland,"Espoo, Finland",http://www.nokia.com,19,102687,21192
Enbridge,416,26073,-1.4,1560.9,64011,695.0,Al Monaco,Pipelines,Energy,407,Canada,"Calgary, Alberta, Canada",http://www.enbridge.com,4,7733,15949
Gas Natural Fenosa,417,26070,-11.5,1489.6,49688,-10.6,Rafael Villaseca Marco,Utilities,Energy,365,Spain,"Barcelona, Spain",http://www.gasnaturalfenosa.com,9,17229,16057
Australia & New Zealand Banking Group,418,26032,-10.1,4199.9,699976,-28.4,Shayne Elliott,Banks: Commercial and Savings,Financials,362,Australia,"Docklands, Australia",http://www.anz.com,14,46554,44237
LM Ericsson,419,26004,-11.2,200.5,31199,-87.5,Borje Ekholm,Network and Other Communications Equipment,Technology,357,Sweden,"Stockholm, Sweden",http://www.ericsson.com,23,111464,15395
Sumitomo Electric Industries,420,25975,6.3,992.7,26062,31.0,Masayoshi Matsumoto,Motor Vehicles and Parts,Motor Vehicles & Parts,440,Japan,"Osaka, Japan",http://www.global-sei.com,23,248330,11769
Mondelez International,421,25923,-12.5,1659.0,61538,-77.2,Irene B. Rosenfeld,Food Consumer Products,"Food, Beverages & Tobacco",352,USA,"Deerfield, IL",http://www.mondelezinternational.com,10,90000,25161
Old Mutual,422,25913,23.8,769.3,211943,-18.0,Bruce Hemphill,"Insurance: Life, Health (stock)",Financials,500,Britain,"London, Britain",http://www.oldmutualplc.com,16,68527,9949
Idemitsu Kosan,423,25888,-1.0,813.7,23711,,Takashi Tsukioka,Petroleum Refining,Energy,412,Japan,"Tokyo, Japan",http://www.idemitsu.com,23,9139,3852
Bank of Nova Scotia,424,25817,2.8,5362.2,668805,-4.9,Brian J. Porter,Banks: Commercial and Savings,Financials,428,Canada,"Toronto, Ontario, Canada",http://www.scotiabank.com,20,88901,41975
Macy’s,425,25778,-4.8,619.0,19851,-42.3,Jeffrey Gennette,General Merchandisers,Retailing,389,USA,"Cincinnati, OH",http://www.macysinc.com,23,148300,4323
Mapfre Group,426,25775,3.9,857.5,71590,9.1,Antonio Huertas Mejias,Insurance: Property and Casualty (Stock),Financials,434,Spain,"Madrid, Spain",http://www.mapfre.com,10,37020,9625
La Poste,427,25760,0.8,938.9,257526,33.3,Philippe Wahl,"Mail, Package, and Freight Delivery",Transportation,418,France,"Paris, France",http://www.laposte.fr,22,240407,11513
Inditex,428,25733,11.6,3485.0,21203,9.9,Pablo Isla Alvarez de Tejera,Specialty Retailers,Retailing,463,Spain,"Arteixo, Spain",http://www.inditex.com,2,162450,13738
AbbVie,429,25638,12.2,5953.0,66099,15.7,Richard A. Gonzalez,Pharmaceuticals,Health Care,469,USA,"North Chicago, IL",http://www.abbvie.com,2,30000,4636
Datong Coal Mine Group,430,25630,-19.8,-214.8,40012,,Zhang Youxi,"Mining, Crude-Oil Production",Energy,322,China,"Datong, China",http://www.dtcoalmine.com,5,162542,3169
Lotte Shopping,431,25444,-1.2,144.9,34710,,Hee-Tae Kang,General Merchandisers,Retailing,414,South Korea,"Seoul, South Korea",http://www.lotteshopping.com,4,26357,13502
Standard Life,432,25279,46.9,496.7,235324,-77.2,Keith Skeoch,Diversified Financials,Financials,0,Britain,"Edinburgh, Britain",http://www.standardlife.com,19,6302,5370
Shanxi Coking Coal Group,433,25123,-19.1,-10.0,39206,-113.1,Wu Huatai,"Mining, Crude-Oil Production",Energy,337,China,"Taiyuan, China",http://www.sxcc.com.cn,5,209817,4318
Adecco Group,434,25112,2.9,799.5,10651,8909.5,Alain Dehaze,Temporary Help,Business Services,442,Switzerland,"Glattbrugg, Switzerland",http://www.adeccogroup.com,19,33000,3918
International Airlines Group,435,24956,-1.6,2135.4,28868,28.8,Willie Walsh,Airlines,Transportation,421,Britain,"Harmondsworth, Britain",http://www.iairgroup.com,20,63387,5649
McDonald’s,436,24622,-3.1,4686.5,31024,3.5,Stephen J. Easterbrook,Food Services,"Hotels, Restaurants & Leisure",420,USA,"Oak Brook, IL",http://www.aboutmcdonalds.com,23,375000,-2204
NEC,437,24596,4.5,252.0,24091,-60.1,Takashi Niino,Information Technology Services,Technology,452,Japan,"Tokyo, Japan",http://www.nec.com,23,107729,7668
DuPont,438,24594,-12.0,2513.0,39964,28.7,Edward D. Breen,Chemicals,Chemicals,379,USA,"Wilmington, DE",http://www.dupont.com,23,46000,9998
China National Aviation Fuel Group,439,24588,11.3,320.0,6093,-4.3,Zhou Qiang,Wholesalers: Diversified,Wholesalers,484,China,"Beijing, China",http://www.cnaf.com,7,11739,2263
Northrop Grumman,440,24508,4.2,2200.0,25614,10.6,Wesley G. Bush,Aerospace and Defense,Aerospace & Defense,450,USA,"Falls Church, VA",http://www.northropgrumman.com,18,67000,5259
Brookfield Asset Management,441,24411,22.6,1651.0,159826,-29.5,J. Bruce Flatt,Diversified Financials,Financials,0,Canada,"Toronto, Ontario, Canada",http://www.brookfield.com,1,55700,26453
Mercantil Servicios Financieros,442,24403,50.3,2004.2,148659,-10.5,Gustavo J. Vollmer A.,Banks: Commercial and Savings,Financials,0,Venezuela,"Caracas, Venezuela",http://www.msf.com,1,8370,7550
SAP,443,24397,5.8,4031.9,46696,18.6,William R. McDermott,Computer Software,Technology,462,Germany,"Walldorf, Germany",http://www.sap.com,2,84183,27817
ConocoPhillips,444,24360,-21.3,-3615.0,89772,,Ryan M. Lance,"Mining, Crude-Oil Production",Energy,339,USA,"Houston, TX",http://www.conocophillips.com,23,13300,34974
Yangquan Coal Industry Group,445,24284,-14.2,11.1,30793,,Zhai Hong,"Mining, Crude-Oil Production",Energy,374,China,"Yangquan, China",http://www.ymjt.com.cn%20,5,146236,1783
Danone,446,24267,-2.4,1902.1,46350,33.8,Emmanuel Faber,Food Consumer Products,"Food, Beverages & Tobacco",433,France,"Paris, France",http://www.danone.com,23,99187,13825
Samsung C&T,447,24217,105.2,92.5,36816,-96.2,Chi-Hun Choi,"Engineering, Construction",Engineering & Construction,0,South Korea,"Seoul, South Korea",http://www.samsungcnt.com,1,13898,15155
Shanxi LuAn Mining Group,448,24087,-15.9,-106.9,29026,,Li Jinping,"Mining, Crude-Oil Production",Energy,370,China,"Changzhi, China",http://www.chinaluan.com,5,95666,2542
Raytheon,449,24069,3.5,2211.0,30052,6.6,Thomas A. Kennedy,Aerospace and Defense,Aerospace & Defense,457,USA,"Waltham, MA",http://www.raytheon.com,22,63000,10066
Midea Group,450,24060,8.5,2210.4,24549,9.3,Fang Hongbo,"Electronics, Electrical Equip.",Technology,481,China,"Foshan, China",http://www.midea.com,2,126418,8796
Chubu Electric Power,451,24028,1.1,1058.2,48580,-25.2,Satoru Katsuno,Utilities,Energy,448,Japan,"Nagoya, Japan",http://www.chuden.co.jp,23,30635,14695
BAE Systems,452,24011,-6.4,1232.3,28383,-12.1,Charles Woodburn,Aerospace and Defense,Aerospace & Defense,415,Britain,"London, Britain",http://www.baesystems.com,23,76000,4247
Andeavor,453,24005,-14.7,734.0,20398,-52.3,Gregory J. Goff,Petroleum Refining,Energy,375,USA,"San Antonio, TX",http://www.tsocorp.com,11,6308,5465
China Datang,454,23871,-9.7,243.9,101631,32.9,Chen Jinhang,Energy,Energy,406,China,"Beijing, China",http://www.china-cdt.com,8,97091,7371
Flex,455,23863,-2.3,319.6,12593,-28.0,Michael M. McNamara,Semiconductors and Other Electronic Components,Technology,441,Singapore,Singapore,http://www.flex.com,17,200000,2645
