ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB
386,Age Retirement,2013,1986,1995,Teacher,Special Education,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,A,SA,SA,A,A,A,A,SA,SA,A,SA,A,A,A,SA,Female,61 or older,N/A,N/A,N/A,N/A,N/A
387,Ill Health Retirement,2013,1976,1988,Guidance Officer,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,51-55,N/A,N/A,N/A,N/A,N/A
388,Age Retirement,2013,1978,1990,Teacher,Primary,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,A,A,SA,A,A,A,A,A,A,A,A,A,A,A,N,A,N,A,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
389,Resignation-Move overseas/interstate,2013,2007,2007,Teacher,Secondary,Not Stated,,Permanent Full-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,A,SA,N/A,A,SA,SA,SA,SA,SA,Female,46-50,N/A,N/A,N/A,N/A,N/A
390,Resignation-Other employer,2013,1985,1999,Teacher,Secondary,Central Queensland,,Permanent Full-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N,A,D,N,A,A,D,N,A,A,D,N,D,N,A,A,A,N,N,D,A,Female,46-50,N/A,N/A,N/A,N/A,N/A
391,Resignation-Other employer,2013,2000,200,Teacher,Secondary,Central Queensland,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,A,A,A,A,A,A,SA,SA,SA,A,A,A,N,N,A,N,N,N,N,Female,46-50,N/A,N/A,N/A,N/A,N/A
392,Resignation-Other employer,2012,2007,2007,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,A,D,SD,N,D,D,SD,N,SD,D,N,N,D,SD,SD,SD,N,SD,SD,SD,Female,31-35,N/A,N/A,N/A,N/A,N/A
393,Age Retirement,2013,1973,1988,Teacher,Primary,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,N,N,N,A,A,N,N,A,A,N,N,N,N,N,N,A,A,N,N,Male,56-60,N/A,N/A,N/A,N/A,N/A
394,Other,2012,2008,2008,Teacher,Secondary,North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,A,D,D,D,SD,SD,N/A,SD,N/A,N/A,N,SD,SD,SD,N/A,N/A,N/A,SD,N/A,D,Male,46-50,N/A,N/A,N/A,N/A,N/A
395,Age Retirement,2013,1980,1980,Teacher,Primary,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,A,A,SA,SA,A,A,SA,SA,SA,A,A,SA,SA,A,SA,SA,A,A,A,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
396,Age Retirement,2013,1989,1990,Teacher,Secondary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,N,N,N,A,N,A,SA,A,N,N,N,N,A,A,A,A,A,N,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
397,Age Retirement,2013,1979,1991,Teacher,Secondary,Far North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,N,A,A,A,A,SA,A,A,A,SA,A,A,A,A,A,SA,SA,A,A,SA,SA,Female,51-55,N/A,N/A,N/A,N/A,N/A
398,Age Retirement,2013,1996,1996,Teacher Aide,,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SA,A,A,A,A,A,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,M,SA,Female,61 or older,N/A,N/A,N/A,N/A,N/A
399,Resignation-Other reasons,2012,1993,2011,Guidance Officer,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,A,Female,41-45,N/A,N/A,N/A,N/A,N/A
400,Resignation-Other employer,2013,Not Stated,Not Stated,Cleaner,,Not Stated,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,N,D,N,N,N/A,SD,N/A,SA,N,N,D,A,N,N/A,N,N,N/A,N,N/A,Male,56-60,N/A,N/A,N/A,N/A,N/A
401,Age Retirement,2013,1971,1974,Teacher,Primary,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,SD,A,A,SD,D,SA,SA,D,D,A,N,D,A,A,D,A,D,SD,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
402,Age Retirement,2013,1998,2011,Teacher,Primary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,N,SD,SD,N,D,A,A,A,D,D,Female,56-60,N/A,N/A,N/A,N/A,N/A
403,Voluntary Early Retirement (VER),2013,1976,1989,Teacher,Primary,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,A,A,N,D,N,N,A,A,N,A,N/A,A,A,N,N,N,A,D,N,Female,56-60,N/A,N/A,N/A,N/A,N/A
404,Termination,2013,2008,2008,Cleaner,,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,N/A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,N/A,SA,SA,SA,SA,SA,SA,SA,SA,Female,46-50,N/A,N/A,N/A,N/A,N/A
405,Age Retirement,2013,1999,1999,Teacher,Primary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,SA,SA,SA,A,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
406,Resignation-Other reasons,2012,Not Stated,Not Stated,Teacher,Primary,Not Stated,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,,N/A,N/A,N/A,N/A,N/A
407,Resignation-Other reasons,2013,1991,1992,Teacher Aide,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A,D,SD,SD,A,A,SD,SD,A,N,SD,SD,SD,SD,N,SD,N,D,SD,SD,N,Female,56-60,N/A,N/A,N/A,N/A,N/A
408,Resignation-Move overseas/interstate,2013,Not Stated,2011,Technical Officer,,Central Queensland,,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M,M,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,N,A,N,A,A,A,A,A,N,Male,61 or older,N/A,N/A,N/A,N/A,N/A
409,Resignation-Other reasons,2012,2006,2006,Teacher,Primary,Not Stated,,Permanent Full-time,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,D,D,N/A,D,SD,D,N,N,N,N,N,D,N,N,D,D,D,D,SD,SD,Female,26-30,N/A,N/A,N/A,N/A,N/A
410,Resignation-Other reasons,2012,Not Stated,Not Stated,Teacher Aide,,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,SD,SD,A,A,D,SA,SD,SD,N,D,N,D,D,D,SD,SD,D,D,M,A,Female,36-40,N/A,N/A,N/A,N/A,N/A
411,Resignation-Other reasons,2013,2008,2008,Teacher,Primary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,A,A,A,A,A,A,SA,A,SA,A,A,SA,N,A,A,A,A,M,A,Female,26-30,N/A,N/A,N/A,N/A,N/A
412,Age Retirement,2012,Not Stated,Not Stated,School Administrative Staff,Primary,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Female,61 or older,N/A,N/A,N/A,N/A,Yes
413,Resignation-Other reasons,2013,2008,2009,Cleaner,,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,N/A,A,N/A,A,A,A,A,N/A,A,Female,41-45,N/A,N/A,N/A,N/A,N/A
414,Age Retirement,2012,1988,1988,Teacher,Primary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,N,N,A,A,N,N,A,N,N,N/A,N,N,N,A,A,N,N,SD,A,Female,61 or older,N/A,N/A,N/A,N/A,Yes
415,Resignation-Other employer,2013,1997,2009,Teacher,Primary,Darling Downs South West,,Permanent Full-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,A,A,A,A,A,A,A,A,A,A,N,N,N,A,A,A,A,A,A,Female,41-45,N/A,N/A,N/A,N/A,N/A
416,Resignation-Move overseas/interstate,2013,2011,2013,Teacher,Primary,Central Queensland,,Permanent Full-time,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,A,SA,SA,A,A,SA,SA,SA,SA,A,SA,SA,SA,SA,A,A,A,A,N/A,Male,26-30,N/A,N/A,N/A,N/A,N/A
417,Resignation-Other reasons,2012,1963,1989,Teacher,Special Education,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
418,Resignation-Other reasons,2013,2008,2011,Teacher Aide,Primary,South East,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SA,N,A,N,A,N,N,SA,SA,SA,SA,SA,N,N,A,A,A,A,N,N,SA,Female,41-45,N/A,N/A,N/A,N/A,N/A
419,Age Retirement,2013,Not Stated,Not Stated,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,A,A,D,A,A,SD,SA,N,A,A,A,A,N,A,N,D,D,N,D,A,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
420,Resignation-Other reasons,2013,2012,2012,Teacher Aide,,North Queensland,,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,N,SA,SA,A,A,A,SA,SA,A,SA,SA,SA,A,SA,SA,A,SA,SA,A,A,Female,41-45,N/A,N/A,N/A,Yes,N/A
421,Age Retirement,2013,1970,1970,Teacher,Primary,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,SA,SA,SA,SA,SA,M,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
422,Age Retirement,2013,1972,1984,Teacher,Secondary,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,61 or older,N/A,N/A,N/A,N/A,N/A
423,Age Retirement,2013,2005,2006,Cleaner,,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,N/A,SA,SA,SA,SA,N,SA,SA,SA,D,A,A,SA,D,A,SA,SA,SA,SD,SA,Male,61 or older,N/A,N/A,N/A,N/A,N/A
424,Resignation-Other employer,2013,2008,2012,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,A,SA,SA,A,N,N,A,A,SA,SA,SA,N,N,A,A,A,A,A,A,A,Male,31-35,N/A,N/A,N/A,N/A,N/A
425,Other,2013,2000,2006,Teacher Aide,,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,SD,SD,SD,N,SD,N,A,N,N,M,N,A,N,D,D,D,N,N,N,Female,51-55,N/A,N/A,N/A,N/A,N/A
426,Other,2013,2009,2009,Teacher Aide,,Not Stated,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,N,N,A,A,M,N,A,A,N,A,A,A,SA,N,SA,A,N,N,A,Male,26-30,N/A,N/A,N/A,N/A,N/A
427,Other,2013,2010,2012,Teacher Aide,,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,SA,A,SA,A,A,A,SA,SA,SA,A,A,SA,SA,A,A,Female,46-50,N/A,N/A,N/A,N/A,N/A
428,Age Retirement,2013,1993,2003,Teacher Aide,,Central Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,D,N,N,A,N,A,A,N,M,N,N,N,N,N,N,A,A,N,N,Female,61 or older,N/A,N/A,N/A,N/A,N/A
429,Ill Health Retirement,2013,1984,1984,Cleaner,,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,N/A,SD,N,D,N/A,SD,D,A,SD,A,N,SD,D,N/A,SD,N,D,D,SD,N,Female,61 or older,N/A,N/A,N/A,N/A,Yes
430,Ill Health Retirement,2013,1976,1976,Teacher Aide,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,M,A,A,SA,SA,A,A,A,A,N,N,N,N,A,A,N,A,N,M,M,Female,61 or older,N/A,N/A,N/A,N/A,N/A
431,Other,2012,2003,2004,Teacher Aide,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SD,N,D,SD,A,D,D,SD,D,A,SD,A,D,SD,D,SD,SD,D,SD,SD,D,Female,41-45,,,,,
432,Age Retirement,2013,2002,2002,Cleaner,,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,61 or older,N/A,N/A,N/A,N/A,N/A
433,Resignation-Move overseas/interstate,2013,2008,2010,Technical Officer,,Central Office,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,D,N,D,D,A,A,A,N,A,A,N,A,N,N,N,N,N,D,D,N,N,Female,26-30,N/A,N/A,N/A,N/A,N/A
434,Resignation-Other reasons,2013,1993,2002,Teacher,Primary,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,D,SD,SD,A,D,A,SD,D,N,A,SA,N,SD,D,SD,A,A,A,SD,N,N,Female,46-50,N/A,N/A,N/A,N/A,N/A
435,Resignation-Other reasons,2013,2006,2010,Head of Curriculum/Head of Special Education,,Central Queensland,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,A,N,A,D,SD,D,A,A,A,SA,A,A,A,A,SA,N,N,D,SD,D,Female,26-30,N/A,N/A,N/A,N/A,N/A
436,Age Retirement,2013,2003,2003,Cleaner,,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,A,A,A,A,A,A,A,A,A,A,N,A,N,A,A,A,A,A,M,Female,51-55,N/A,N/A,N/A,N/A,N/A
437,Ill Health Retirement,2013,1986,2000,Teacher,Secondary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,A,SD,SD,SA,SA,SA,SA,SA,A,A,A,SA,SA,SA,SA,SD,SA,Female,46-50,N/A,N/A,N/A,Yes,N/A
438,Resignation-Other reasons,2013,2002,2002,Teacher,Special Education,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,SA,N,A,A,A,A,A,A,A,A,A,A,D,D,SA,A,A,A,A,N,A,Female,31-35,N/A,N/A,N/A,Yes,N/A
439,Resignation-Other employer,2013,Not Stated,Not Stated,Teacher,Secondary,North Queensland,,Permanent Full-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,N,D,N,N,D,N,N,A,N,A,N,N,N,N,N,N,N,D,D,Female,21-25,N/A,N/A,N/A,N/A,N/A
440,Resignation-Other reasons,2012,1992,2009,Teacher Aide,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,A,D,SD,A,N,N,D,A,A,D,N,D,SD,N,D,N,N,N,A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
441,Age Retirement,2012,1993,1993,Guidance Officer,,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,A,A,A,N,A,A,A,A,A,N,A,A,D,A,A,A,N,D,D,Female,61 or older,N/A,N/A,N/A,N/A,Yes
442,Resignation-Other reasons,2013,2010,2010,Teacher Aide,,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,N,SA,SA,SA,SA,SA,A,SA,A,N,N,N,D,N,N,A,N,A,A,Female,31-35,N/A,N/A,N/A,N/A,N/A
443,Ill Health Retirement,2013,Not Stated,Not Stated,Schools Officer,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SA,A,SA,SA,N,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,56-60,N/A,N/A,N/A,N/A,N/A
444,Age Retirement,2013,1977,1999,Deputy Principal,,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,A,A,A,D,N,SA,A,SA,SA,SA,SA,SA,A,A,SA,SA,SA,N,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
445,Age Retirement,2013,1986,2006,Teacher,Secondary,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,N,D,N,D,N,A,N,A,A,D,N,N,A,A,A,N,N,A,N,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
446,Ill Health Retirement,2012,1999,2009,Teacher Aide,,North Coast,,Permanent Part-time,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,N,N,SD,A,SA,A,SD,SD,SA,SA,SA,N,N,A,N,SA,SD,SD,SD,N,N,Male,61 or older,N/A,N/A,N/A,Yes,N/A
447,Age Retirement,2013,1987,2000,Teacher,Primary,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,A,SA,Female,61 or older,N/A,N/A,N/A,N/A,N/A
448,Termination,2012,2010,2010,Public Servant,AO8 and Above,Central Office,Information and Technologies,Temporary Full-time,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,N,D,A,A,A,A,A,SA,A,SA,SA,A,SA,SA,A,A,N,N,N,A,Male,31-35,Yes,N/A,N/A,N/A,N/A
449,Ill Health Retirement,2013,2003,2003,Cleaner,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N,N,A,A,A,A,A,A,A,A,A,N,A,N,N,A,A,A,N,N,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
