Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
Special Education Students,25Q460,FLUSHING HIGH SCHOOL,2004,55,13,23.6,5,9.1,38.5,0,0,0,5,9.1,38.5,8,14.5,61.5,24,43.6,13,23.6
Special Education Students,25Q460,FLUSHING HIGH SCHOOL,2005,58,18,31,5,8.6,27.8,0,0,0,5,8.6,27.8,13,22.4,72.2,18,31,16,27.6
Special Education Students,25Q460,FLUSHING HIGH SCHOOL,2006,76,27,35.5,12,15.8,44.4,0,0,0,12,15.8,44.4,15,19.7,55.6,15,19.7,24,31.6
Special Education Students,25Q460,FLUSHING HIGH SCHOOL,2006 Aug,76,27,35.5,12,15.8,44.4,0,0,0,12,15.8,44.4,15,19.7,55.6,15,19.7,24,31.6
Special Education Students,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2006,1,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q525,TOWNSEND HARRIS HIGH SCHOOL,2006 Aug,1,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q540,QUEENS ACADEMY HIGH SCHOOL,2001,9,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q540,QUEENS ACADEMY HIGH SCHOOL,2002,18,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q540,QUEENS ACADEMY HIGH SCHOOL,2003,12,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q540,QUEENS ACADEMY HIGH SCHOOL,2004,7,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,26Q430,FRANCIS LEWIS HIGH SCHOOL,2001,88,26,29.5,7,8,26.9,2,2.3,7.7,5,5.7,19.2,19,21.6,73.099999999999994,20,22.7,17,19.3
Special Education Students,25Q540,QUEENS ACADEMY HIGH SCHOOL,2006,11,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q540,QUEENS ACADEMY HIGH SCHOOL,2006 Aug,11,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2001,5,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2002,8,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2003,7,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2004,14,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2005,27,13,48.1,7,25.9,53.8,0,0,0,7,25.9,53.8,6,22.2,46.2,10,37,4,14.8
Special Education Students,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2006,29,6,20.7,5,17.2,83.3,1,3.4,16.7,4,13.8,66.7,1,3.4,16.7,12,41.4,10,34.5
Special Education Students,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2006 Aug,29,6,20.7,5,17.2,83.3,1,3.4,16.7,4,13.8,66.7,1,3.4,16.7,12,41.4,10,34.5
Special Education Students,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2003,2,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2004,7,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2005,15,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2006,5,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,2006 Aug,5,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2001,52,24,46.2,7,13.5,29.2,2,3.8,8.300000000000001,5,9.6,20.8,18,34.6,75,6,11.5,11,21.2
Special Education Students,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2002,36,13,36.1,5,13.9,38.5,2,5.6,15.4,3,8.300000000000001,23.1,8,22.2,61.5,9,25,8,22.2
Special Education Students,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2003,40,20,50,10,25,50,3,7.5,15,7,17.5,35,10,25,50,12,30,3,7.5
Special Education Students,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2004,54,16,29.6,6,11.1,37.5,3,5.6,18.8,3,5.6,18.8,10,18.5,62.5,18,33.299999999999997,11,20.399999999999999
Special Education Students,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2005,70,24,34.299999999999997,9,12.9,37.5,2,2.9,8.300000000000001,7,10,29.2,15,21.4,62.5,19,27.1,15,21.4
Special Education Students,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2006,60,29,48.3,13,21.7,44.8,4,6.7,13.8,9,15,31,16,26.7,55.2,14,23.3,9,15
Special Education Students,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2006 Aug,60,32,53.3,15,25,46.9,5,8.300000000000001,15.6,10,16.7,31.3,17,28.3,53.1,11,18.3,9,15
Special Education Students,26Q430,FRANCIS LEWIS HIGH SCHOOL,2002,64,25,39.1,12,18.8,48,4,6.3,16,8,12.5,32,13,20.3,52,9,14.1,16,25
Special Education Students,26Q430,FRANCIS LEWIS HIGH SCHOOL,2003,69,19,27.5,6,8.699999999999999,31.6,0,0,0,6,8.699999999999999,31.6,13,18.8,68.400000000000006,35,50.7,11,15.9
Special Education Students,26Q430,FRANCIS LEWIS HIGH SCHOOL,2004,81,27,33.299999999999997,12,14.8,44.4,3,3.7,11.1,9,11.1,33.299999999999997,15,18.5,55.6,23,28.4,12,14.8
Special Education Students,26Q430,FRANCIS LEWIS HIGH SCHOOL,2005,108,47,43.5,18,16.7,38.299999999999997,1,0.9,2.1,17,15.7,36.200000000000003,29,26.9,61.7,39,36.1,6,5.6
Special Education Students,26Q430,FRANCIS LEWIS HIGH SCHOOL,2006,96,23,24,7,7.3,30.4,0,0,0,7,7.3,30.4,16,16.7,69.599999999999994,41,42.7,16,16.7
Special Education Students,26Q430,FRANCIS LEWIS HIGH SCHOOL,2006 Aug,96,35,36.5,9,9.4,25.7,0,0,0,9,9.4,25.7,26,27.1,74.3,29,30.2,16,16.7
Special Education Students,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2001,97,36,37.1,3,3.1,8.300000000000001,2,2.1,5.6,1,1,2.8,33,34,91.7,17,17.5,22,22.7
Special Education Students,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2002,49,24,49,2,4.1,8.300000000000001,0,0,0,2,4.1,8.300000000000001,22,44.9,91.7,9,18.399999999999999,11,22.4
Special Education Students,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2003,73,26,35.6,5,6.8,19.2,0,0,0,5,6.8,19.2,21,28.8,80.8,28,38.4,10,13.7
Special Education Students,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2004,61,20,32.799999999999997,7,11.5,35,0,0,0,7,11.5,35,13,21.3,65,22,36.1,11,18
Special Education Students,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2005,84,37,44,14,16.7,37.799999999999997,0,0,0,14,16.7,37.799999999999997,23,27.4,62.2,24,28.6,8,9.5
Special Education Students,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2006,77,16,20.8,7,9.1,43.8,0,0,0,7,9.1,43.8,9,11.7,56.3,48,62.3,7,9.1
Special Education Students,26Q435,MARTIN VAN BUREN HIGH SCHOOL,2006 Aug,77,27,35.1,9,11.7,33.299999999999997,0,0,0,9,11.7,33.299999999999997,18,23.4,66.7,37,48.1,7,9.1
Special Education Students,26Q495,BAYSIDE HIGH SCHOOL,2001,64,20,31.3,2,3.1,10,0,0,0,2,3.1,10,19,29.7,95,6,9.4,22,34.4
Special Education Students,26Q495,BAYSIDE HIGH SCHOOL,2002,44,17,38.6,5,11.4,29.4,0,0,0,5,11.4,29.4,12,27.3,70.599999999999994,12,27.3,12,27.3
Special Education Students,26Q495,BAYSIDE HIGH SCHOOL,2003,49,18,36.700000000000003,3,6.1,16.7,1,2,5.6,2,4.1,11.1,15,30.6,83.3,20,40.799999999999997,8,16.3
Special Education Students,26Q495,BAYSIDE HIGH SCHOOL,2004,66,25,37.9,14,21.2,56,2,3,8,12,18.2,48,11,16.7,44,31,47,2,3
Special Education Students,26Q495,BAYSIDE HIGH SCHOOL,2005,58,26,44.8,14,24.1,53.8,2,3.4,7.7,12,20.7,46.2,12,20.7,46.2,17,29.3,11,19
Special Education Students,26Q495,BAYSIDE HIGH SCHOOL,2006,68,33,48.5,19,27.9,57.6,4,5.9,12.1,15,22.1,45.5,14,20.6,42.4,21,30.9,14,20.6
Special Education Students,26Q495,BAYSIDE HIGH SCHOOL,2006 Aug,68,39,57.4,20,29.4,51.3,4,5.9,10.3,16,23.5,41,19,27.9,48.7,15,22.1,14,20.6
Special Education Students,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,2002,7,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,2003,10,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,2004,21,13,61.9,4,19,30.8,0,0,0,4,19,30.8,9,42.9,69.2,6,28.6,2,9.5
Special Education Students,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,2005,41,29,70.7,9,22,31,2,4.9,6.9,7,17.100000000000001,24.1,20,48.8,69,8,19.5,2,4.9
Special Education Students,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,2006,28,16,57.1,3,10.7,18.8,0,0,0,3,10.7,18.8,13,46.4,81.3,6,21.4,3,10.7
Special Education Students,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,2006 Aug,28,16,57.1,3,10.7,18.8,0,0,0,3,10.7,18.8,13,46.4,81.3,6,21.4,3,10.7
Special Education Students,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,2004,5,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,2005,5,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,2006,10,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,2006 Aug,10,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,2004,8,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,2005,4,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,2006,5,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,2006 Aug,5,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,27Q400,AUGUST MARTIN HIGH SCHOOL,2001,46,8,17.399999999999999,0,0,0,0,0,0,0,0,0,8,17.399999999999999,100,18,39.1,11,23.9
Special Education Students,27Q400,AUGUST MARTIN HIGH SCHOOL,2002,44,7,15.9,0,0,0,0,0,0,0,0,0,7,15.9,100,19,43.2,12,27.3
Special Education Students,27Q400,AUGUST MARTIN HIGH SCHOOL,2003,39,0,0,0,0,,0,0,,0,0,,0,0,,22,56.4,15,38.5
Special Education Students,27Q400,AUGUST MARTIN HIGH SCHOOL,2004,70,21,30,2,2.9,9.5,0,0,0,2,2.9,9.5,19,27.1,90.5,20,28.6,20,28.6
Special Education Students,27Q400,AUGUST MARTIN HIGH SCHOOL,2005,71,18,25.4,3,4.2,16.7,0,0,0,3,4.2,16.7,15,21.1,83.3,18,25.4,19,26.8
Special Education Students,27Q400,AUGUST MARTIN HIGH SCHOOL,2006,39,10,25.6,1,2.6,10,1,2.6,10,0,0,0,9,23.1,90,17,43.6,10,25.6
Special Education Students,27Q400,AUGUST MARTIN HIGH SCHOOL,2006 Aug,39,12,30.8,1,2.6,8.300000000000001,1,2.6,8.300000000000001,0,0,0,11,28.2,91.7,15,38.5,10,25.6
Special Education Students,27Q410,BEACH CHANNEL HIGH SCHOOL,2001,86,32,37.200000000000003,8,9.300000000000001,25,1,1.2,3.1,7,8.1,21.9,24,27.9,75,20,23.3,15,17.399999999999999
Special Education Students,27Q410,BEACH CHANNEL HIGH SCHOOL,2002,43,13,30.2,1,2.3,7.7,0,0,0,1,2.3,7.7,12,27.9,92.3,12,27.9,10,23.3
Special Education Students,27Q410,BEACH CHANNEL HIGH SCHOOL,2003,86,19,22.1,1,1.2,5.3,0,0,0,1,1.2,5.3,18,20.9,94.7,30,34.9,27,31.4
Special Education Students,27Q410,BEACH CHANNEL HIGH SCHOOL,2004,85,22,25.9,9,10.6,40.9,0,0,0,9,10.6,40.9,13,15.3,59.1,27,31.8,24,28.2
Special Education Students,27Q410,BEACH CHANNEL HIGH SCHOOL,2005,76,23,30.3,10,13.2,43.5,0,0,0,10,13.2,43.5,13,17.100000000000001,56.5,26,34.200000000000003,19,25
Special Education Students,27Q410,BEACH CHANNEL HIGH SCHOOL,2006,69,23,33.299999999999997,5,7.2,21.7,0,0,0,5,7.2,21.7,18,26.1,78.3,25,36.200000000000003,13,18.8
Special Education Students,27Q410,BEACH CHANNEL HIGH SCHOOL,2006 Aug,69,27,39.1,6,8.699999999999999,22.2,0,0,0,6,8.699999999999999,22.2,21,30.4,77.8,21,30.4,13,18.8
Special Education Students,27Q465,FAR ROCKAWAY HIGH SCHOOL,2001,65,10,15.4,0,0,0,0,0,0,0,0,0,10,15.4,100,16,24.6,27,41.5
Special Education Students,27Q465,FAR ROCKAWAY HIGH SCHOOL,2002,26,3,11.5,1,3.8,33.299999999999997,0,0,0,1,3.8,33.299999999999997,2,7.7,66.7,11,42.3,10,38.5
Special Education Students,27Q465,FAR ROCKAWAY HIGH SCHOOL,2003,48,6,12.5,0,0,0,0,0,0,0,0,0,6,12.5,100,24,50,13,27.1
Special Education Students,27Q465,FAR ROCKAWAY HIGH SCHOOL,2004,40,11,27.5,1,2.5,9.1,0,0,0,1,2.5,9.1,10,25,90.9,12,30,14,35
Special Education Students,27Q465,FAR ROCKAWAY HIGH SCHOOL,2005,52,15,28.8,2,3.8,13.3,0,0,0,2,3.8,13.3,13,25,86.7,20,38.5,12,23.1
Special Education Students,27Q465,FAR ROCKAWAY HIGH SCHOOL,2006,30,3,10,0,0,0,0,0,0,0,0,0,3,10,100,9,30,15,50
Special Education Students,27Q465,FAR ROCKAWAY HIGH SCHOOL,2006 Aug,30,3,10,0,0,0,0,0,0,0,0,0,3,10,100,9,30,15,50
Special Education Students,27Q475,RICHMOND HILL HIGH SCHOOL,2001,96,7,7.3,1,1,14.3,0,0,0,1,1,14.3,6,6.3,85.7,19,19.8,49,51
Special Education Students,27Q475,RICHMOND HILL HIGH SCHOOL,2002,67,13,19.399999999999999,3,4.5,23.1,0,0,0,3,4.5,23.1,10,14.9,76.900000000000006,24,35.799999999999997,15,22.4
Special Education Students,27Q475,RICHMOND HILL HIGH SCHOOL,2003,68,11,16.2,1,1.5,9.1,0,0,0,1,1.5,9.1,10,14.7,90.9,42,61.8,12,17.600000000000001
Special Education Students,27Q475,RICHMOND HILL HIGH SCHOOL,2004,96,14,14.6,5,5.2,35.700000000000003,0,0,0,5,5.2,35.700000000000003,9,9.4,64.3,39,40.6,33,34.4
Special Education Students,27Q475,RICHMOND HILL HIGH SCHOOL,2005,118,20,16.899999999999999,3,2.5,15,0,0,0,3,2.5,15,17,14.4,85,47,39.799999999999997,43,36.4
Special Education Students,27Q475,RICHMOND HILL HIGH SCHOOL,2006,94,24,25.5,7,7.4,29.2,1,1.1,4.2,6,6.4,25,17,18.100000000000001,70.8,27,28.7,34,36.200000000000003
Special Education Students,27Q475,RICHMOND HILL HIGH SCHOOL,2006 Aug,94,28,29.8,8,8.5,28.6,1,1.1,3.6,7,7.4,25,20,21.3,71.400000000000006,23,24.5,34,36.200000000000003
Special Education Students,27Q480,JOHN ADAMS HIGH SCHOOL,2001,80,15,18.8,1,1.3,6.7,0,0,0,1,1.3,6.7,14,17.5,93.3,29,36.299999999999997,22,27.5
Special Education Students,27Q480,JOHN ADAMS HIGH SCHOOL,2002,45,8,17.8,3,6.7,37.5,0,0,0,3,6.7,37.5,5,11.1,62.5,21,46.7,10,22.2
Special Education Students,27Q480,JOHN ADAMS HIGH SCHOOL,2003,70,7,10,3,4.3,42.9,1,1.4,14.3,2,2.9,28.6,4,5.7,57.1,50,71.400000000000006,11,15.7
Special Education Students,27Q480,JOHN ADAMS HIGH SCHOOL,2004,114,16,14,4,3.5,25,1,0.9,6.3,3,2.6,18.8,12,10.5,75,59,51.8,27,23.7
Special Education Students,27Q480,JOHN ADAMS HIGH SCHOOL,2005,114,22,19.3,8,7,36.4,0,0,0,8,7,36.4,14,12.3,63.6,46,40.4,24,21.1
Special Education Students,27Q480,JOHN ADAMS HIGH SCHOOL,2006,98,34,34.700000000000003,16,16.3,47.1,1,1,2.9,15,15.3,44.1,18,18.399999999999999,52.9,25,25.5,27,27.6
Special Education Students,27Q480,JOHN ADAMS HIGH SCHOOL,2006 Aug,98,39,39.799999999999997,16,16.3,41,1,1,2.6,15,15.3,38.5,23,23.5,59,20,20.399999999999999,27,27.6
Special Education Students,27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,2006,12,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,2006 Aug,12,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,28Q440,FOREST HILLS HIGH SCHOOL,2001,103,64,62.1,4,3.9,6.3,2,1.9,3.1,2,1.9,3.1,61,59.2,95.3,15,14.6,16,15.5
Special Education Students,28Q440,FOREST HILLS HIGH SCHOOL,2002,54,28,51.9,2,3.7,7.1,0,0,0,2,3.7,7.1,26,48.1,92.9,13,24.1,7,13
Special Education Students,28Q440,FOREST HILLS HIGH SCHOOL,2003,58,34,58.6,5,8.6,14.7,1,1.7,2.9,4,6.9,11.8,29,50,85.3,16,27.6,6,10.3
Special Education Students,28Q440,FOREST HILLS HIGH SCHOOL,2004,72,30,41.7,10,13.9,33.299999999999997,2,2.8,6.7,8,11.1,26.7,20,27.8,66.7,31,43.1,6,8.300000000000001
Special Education Students,28Q440,FOREST HILLS HIGH SCHOOL,2005,71,39,54.9,9,12.7,23.1,2,2.8,5.1,7,9.9,17.899999999999999,30,42.3,76.900000000000006,10,14.1,14,19.7
Special Education Students,28Q440,FOREST HILLS HIGH SCHOOL,2006,70,32,45.7,12,17.100000000000001,37.5,3,4.3,9.4,9,12.9,28.1,20,28.6,62.5,33,47.1,3,4.3
Special Education Students,28Q440,FOREST HILLS HIGH SCHOOL,2006 Aug,70,45,64.3,14,20,31.1,3,4.3,6.7,11,15.7,24.4,31,44.3,68.900000000000006,20,28.6,3,4.3
Special Education Students,28Q470,JAMAICA HIGH SCHOOL,2001,60,7,11.7,2,3.3,28.6,0,0,0,2,3.3,28.6,5,8.300000000000001,71.400000000000006,10,16.7,27,45
Special Education Students,28Q470,JAMAICA HIGH SCHOOL,2002,43,3,7,1,2.3,33.299999999999997,0,0,0,1,2.3,33.299999999999997,2,4.7,66.7,14,32.6,21,48.8
Special Education Students,28Q470,JAMAICA HIGH SCHOOL,2003,56,5,8.9,1,1.8,20,0,0,0,1,1.8,20,4,7.1,80,33,58.9,17,30.4
Special Education Students,28Q470,JAMAICA HIGH SCHOOL,2004,53,6,11.3,1,1.9,16.7,0,0,0,1,1.9,16.7,5,9.4,83.3,27,50.9,14,26.4
Special Education Students,28Q470,JAMAICA HIGH SCHOOL,2005,47,13,27.7,5,10.6,38.5,1,2.1,7.7,4,8.5,30.8,8,17,61.5,19,40.4,12,25.5
Special Education Students,28Q470,JAMAICA HIGH SCHOOL,2006,41,5,12.2,1,2.4,20,0,0,0,1,2.4,20,4,9.800000000000001,80,18,43.9,13,31.7
Special Education Students,28Q470,JAMAICA HIGH SCHOOL,2006 Aug,41,5,12.2,1,2.4,20,0,0,0,1,2.4,20,4,9.800000000000001,80,18,43.9,13,31.7
Special Education Students,28Q505,HILLCREST HIGH SCHOOL,2001,48,11,22.9,2,4.2,18.2,0,0,0,2,4.2,18.2,9,18.8,81.8,8,16.7,21,43.8
Special Education Students,28Q505,HILLCREST HIGH SCHOOL,2002,57,15,26.3,3,5.3,20,0,0,0,3,5.3,20,12,21.1,80,16,28.1,17,29.8
Special Education Students,28Q505,HILLCREST HIGH SCHOOL,2003,69,15,21.7,1,1.4,6.7,0,0,0,1,1.4,6.7,14,20.3,93.3,32,46.4,16,23.2
Special Education Students,28Q505,HILLCREST HIGH SCHOOL,2004,84,25,29.8,7,8.300000000000001,28,1,1.2,4,6,7.1,24,18,21.4,72,36,42.9,19,22.6
Special Education Students,28Q505,HILLCREST HIGH SCHOOL,2005,75,25,33.299999999999997,6,8,24,1,1.3,4,5,6.7,20,19,25.3,76,26,34.700000000000003,19,25.3
Special Education Students,28Q505,HILLCREST HIGH SCHOOL,2006,80,25,31.3,8,10,32,0,0,0,8,10,32,17,21.3,68,33,41.3,19,23.8
Special Education Students,28Q505,HILLCREST HIGH SCHOOL,2006 Aug,80,31,38.799999999999997,8,10,25.8,0,0,0,8,10,25.8,23,28.8,74.2,27,33.799999999999997,19,23.8
Special Education Students,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2001,52,17,32.700000000000003,3,5.8,17.600000000000001,1,1.9,5.9,2,3.8,11.8,14,26.9,82.4,15,28.8,12,23.1
Special Education Students,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2002,29,10,34.5,5,17.2,50,0,0,0,5,17.2,50,5,17.2,50,10,34.5,5,17.2
Special Education Students,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2003,12,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2004,35,10,28.6,5,14.3,50,3,8.6,30,2,5.7,20,5,14.3,50,9,25.7,3,8.6
Special Education Students,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2005,28,15,53.6,8,28.6,53.3,2,7.1,13.3,6,21.4,40,7,25,46.7,9,32.1,3,10.7
Special Education Students,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2006,55,21,38.200000000000003,6,10.9,28.6,0,0,0,6,10.9,28.6,15,27.3,71.400000000000006,10,18.2,15,27.3
Special Education Students,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2006 Aug,55,22,40,6,10.9,27.3,0,0,0,6,10.9,27.3,16,29.1,72.7,9,16.399999999999999,15,27.3
Special Education Students,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,2003,11,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,2004,18,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,2005,7,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,2006,15,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,2006 Aug,15,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q248,QUEENS PREPARATORY ACADEMY,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q248,QUEENS PREPARATORY ACADEMY,2005,8,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q248,QUEENS PREPARATORY ACADEMY,2006,9,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q248,QUEENS PREPARATORY ACADEMY,2006 Aug,9,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,2005,5,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,2006,4,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,2006 Aug,4,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,2004,11,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,2005,7,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,2006,15,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,2006 Aug,15,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,2003,5,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,2004,10,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,2006,12,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,2006 Aug,12,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,2006,3,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,2006 Aug,3,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q420,SPRINGFIELD GARDENS HIGH SCHOOL,2001,31,2,6.5,0,0,0,0,0,0,0,0,0,2,6.5,100,8,25.8,18,58.1
Special Education Students,29Q420,SPRINGFIELD GARDENS HIGH SCHOOL,2002,14,s,,s,,,s,,,s,,,s,,,s,,s,
Special Education Students,29Q420,SPRINGFIELD GARDENS HIGH SCHOOL,2003,11,s,,s,,,s,,,s,,,s,,,s,,s,
