dbn,school_name,borough,building_code,phone_number,fax_number,grade_span_min,grade_span_max,expgrade_span_min,expgrade_span_max,bus,subway,primary_address_line_1,city,state_code,postcode,website,total_students,campus_name,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,online_ap_courses,online_language_courses,extracurricular_activities,psal_sports_boys,psal_sports_girls,psal_sports_coed,school_sports,partner_cbo,partner_hospital,partner_highered,partner_cultural,partner_nonprofit,partner_corporate,partner_financial,partner_other,addtl_info1,addtl_info2,start_time,end_time,se_services,ell_programs,school_accessibility_description,number_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10,Location 1,Community Board,Council District,Census Tract,BIN,BBL,NTA
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",Queens,Q891,718-472-5671,718-472-9117,7,12,,,"B24, B62, Q100, Q101, Q32, Q39, Q67","7 to Rawson St-33rd St ; E, M, R to Queens Plaza ; G to Court Square",47-07 30 Place,Long Island City,NY,11101,www.wagnerartsandtech.org,631,N/A,,"Our school is known for being welcoming and supportive. Many of our teachers have been here for more than 10 years and our graduates often visit. Once you are part of the Wagner family, you will always be a part of the Wagner family. Our teachers meet weekly to create a rich, meaningful curriculum. All students have an advisor responsible for monitoring their progress. Our college and career readiness curriculum helps our students become competitive candidates for college and prepares them for life beyond high school. Come to a place where people know your name, know what you need to learn and are dedicated to supporting you.","Year-long introductory courses in Arts and Technology for 9th graders; Piano, music composition, visual arts, advanced drawing and painting, theater, advanced theater; College Now; other Early College opportunities; Middle College National Consortium student leadership conference, monthly town hall meetings featuring student talent shows, APEX Learning (online curriculum)",Spanish,"Biology, English Literature and Composition",,,"Art (twice a week), Chess Team (nationally ranked), College Readiness, EatWise, Full piano lab with 30 keyboards, Garden Club at Long Island City Roots Community Garden, Gay-Straight Alliance, Crochet, Chinese Calligraphy, Foreign Film, Tech Team, Comic Book, Anime; Multiple field trips to museums and galleries; Music Composition Lab, National Honor Society/Arista, PENCIL; Portfolio development for students interested in applying to art school; Radio, School Leadership Team, Senior Give-Back projects, Student Talent Showcases; Theater program with professional-level productions; United Student Organization (USO), Yearbook","Basketball, Golf, Soccer, Softball, Tennis, Volleyball","Basketball, Golf, Soccer, Softball, Tennis, Volleyball",Wrestling,"We are a small school, but we boast the athletic team offerings of a big school! We have a dozen teams for boys and girls that compete every season of the year. Our athletes join International High School at LaGuardia Community College and Middle College High School at LaGuardia Community College, as the Panthers, to compete in the Public Schools Athletic League (PSAL).",YMCA on-site after school programming (middle school only),,LaGuardia Community College,"Chess-in-Schools, Town Hall Theater Productions","Long Island City Roots Community Garden, PENCIL",,,,Internship Requirement,"Community Service Requirement, Extended Day Program",8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,Priority to continuing 8th graders,"Then to Districts 24, 30 and 32 students or residents",Then to New York City residents,,,,,,,,"47 07 30 Place
Long Island City, NY 11101
(40.742263515, -73.936876121)",2,26,199,4003540,4002820001,Hunters Point-Sunnyside-West Maspeth                                       
16K688,The Brooklyn Academy of Global Finance,Brooklyn,K057,718-574-3126,718-574-3681,9,12,,,"B15, B38, B43, B46, B47, B52, B54, Q24","J to Kosciusko St ; M, Z to Myrtle Ave",125 Stuyvesant Avenue,Brooklyn,NY,11221,http://schools.nyc.gov/schoolportals/16/K688,148,N/A,,"The mission of The Brooklyn Academy of Global Finance (BAFG) is to prepare students for post-secondary education and to compete in the global economy through academic rigor, financial literacy, awareness of global economic and cultural diversity and exposure to and experience in the corporate world. Students gain knowledge of the financial industry through field trips, job shadowing and internships. BAGF provides an academically challenging environment in which students experience real-world applications of their learning through internships and interactions with partners in business and financial services industries.","National Academy of Finance (NAF) provides an industry-approved curriculum and includes job-shadowing, guest speakers, internships, and career planning; Deloitte Consulting provides a Career-Readiness Program for our Freshman Class; Label X Educational Initiative led by music industry professionals introduces students to various aspects of and roles within the music industry and helps them create a viral marketing plan, a professionally mixed song and a professionally edited music video.",Spanish,"English Literature and Composition, Environmental Science",,,"Art, Career Exploring, Chess, Debate Team, Euro Challenge, Federal Reserve Challenge, Homework Center, Lunch and Learn, Model UN, Stock Market Game, Student Government, Toastmasters",,,,Team First Basketball Program,National Academy Foundation (NAF),,"Medgar Evers College Now, Kingsborough Community College, Long Island University", Virtual Enterprise Platform,,,Deloitte Consulting,"Brooklyn Borough President’s Office, Team First Basketball Program",,"Extended Day Program, Internship Requirement, Our school requires an Academic Portfolio for graduation, Weekend Program offered",8:15 AM,3:12 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,,"125 Stuyvesant Avenue
Brooklyn, NY 11221
(40.691537765, -73.933725782)",3,36,291,3043822,3016160001,Stuyvesant Heights                                                         
02M303,"Facing History School, The",Manhattan,M535,212-757-2680,212-757-2156,9,12,,,"M104, M11, M31, M34A-SBS, M42, M50, M57","C, E to 50th St",525 West 50Th Street,New York,NY,10019,www.facinghistoryschool.org,417,Park West Educational Campus,Consortium School,"At FHS, we graduate lifelong learners who are leaders in their communities. We are a small school with teachers who care deeply for our students and work their hardest to nurture them for the opportunities that await them after graduation. Since a college degree is an essential ingredient for success, we prepare our students academically, socially and emotionally to meet the demands of the world through project based learning, art integration with studio classes, a College 101 course and a four year Advisory program. We foster a college-going culture and provide a great deal of support to our students for college and career readiness. In choosing FHS, you are choosing to join a dynamic learning community, to think deeply about yesterday, today and tomorrow, and to envision how to make a positive difference in the world.","Performance Based Assessment School, Internship Opportunities, Kaplan SAT Prep, After-School Tutoring, Bea Kovich College Scholarships (for selected graduating seniors); All students are members of an Advisory class that meets four times per week with an Advisor; This class supports students emotionally and academically throughout their time at FHS",Spanish,"English Literature and Composition, United States History",,,"After-School Tutoring, Art Crew, Photography, Poetry, Visual Arts, Audio, Dance, Drumming; Cheerleading, Community Service, Conflict Resolution, Gay-Straight Alliance, HUSO, School Government, Tech Crew, Unity (Girls Club), Finance, Chess; Additional clubs are created based on student interest","Basketball, Bowling, Handball, Soccer, Softball, Volleyball","Basketball, Bowling, Handball, Soccer, Softball, Volleyball",,Activities to be formed based on student interest,"CityKids, Peer Health Exchange",Mount Sinai Hospital,"New York University (NYU) Steinhardt School of Education, Lehman College, Columbia University, Borough of Manhattan Community College,. City College","Facing History and Ourselves, Urban Arts Partnership, News Literacy Project","School Reform Initiative, Fund for Public Schools, Relationship Abuse Prevention Program, Substance Abuse Prevention program, PENCIL, ADEONA Foundation,Human United Strength Organization (HUSO)",,,,"Dress Code Required: white/black/navy/brow collared shirt, shoes, sweater/sweatshirt when needed, black/brown/navy slacks, Incoming freshmen and parents are expected to attend an Orientation session., 4 years of math and science required, Academic Portfolio required for graduation, Free SAT prep courses held at the school, Daily after-school activities, including tutoring and credit recovery classes, from 3:00 PM – 5:30 PM","Community Service Requirement, Extended Day Program Requirement",8:35 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to District 3 students or residents who attend an information session,Then to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to District 3 students or residents,Then to Manhattan students or residents,Then to New York City residents,,,,,"525 West 50Th Street
New York, NY 10019
(40.765026708, -73.992516578)",4,3,135,1083802,1010790029,Clinton                                                                    
02M533,Union Square Academy for Health Sciences,Manhattan,M460,212-253-3110,212-253-3108,9,12,,,"M101, M102, M103, M14A, M14D, M15, M2, M23, M3, M34A-SBS, M5, M7, M8, M9","1, 2, 3, F, M to 14th St - 6th Ave ; 4, 5, 6, L, N, Q, R to 14th St-Union Square ; L to 3rd Ave",40 Irving Place,New York,NY,10003,unionsquareacademy.org,223,Washington Irving Educational Campus,CTE School,"This is a small Career and Technical Education (CTE) high school with big dreams of helping students prepare for health careers in not only in pharmacy and dentistry, but also in many other Science, Technology, Engineering and Math (STEM) areas. The focus on STEM helps students market their skills in the growing job industries. Our unique project-based instructional approach uses activities that engage students’ interest and motivation as they solve problems using an inquiry approach. These activities are designed to answer a question or solve a problem and generally reflect the types of learning and work people do in the everyday world outside the classroom.","Project-based Assessments, Elective Advisory Course called 'Rounds,' Community Internships (Junior and Senior Years)","French, Spanish","Biology, Calculus AB, English Language and Composition, English Literature and Composition, Physics B, United States History",,,"More than twenty campus clubs offered, including cooking, gaming and basketball","Basketball, Lacrosse, Softball, Volleyball","Basketball, Lacrosse, Softball, Volleyball",,"Baseball, Basketball, Soccer, Softball, Step Team, Volleyball",Institute for Family Health,,St. John's University: College of Pharmacy and Health Sciences and New York University College of Dentistry,,,,,"Cleary Gottlieb, Steen & Hamilton L. L. P.","Dress Code Required: Lab Coat (for in-class use), Summer Orientation for Incoming Freshmen Required, Trimester Schedule, Saturday Academy","Extended Day Program, Internship Requirement",8:00 AM,3:49 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,Priority to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Manhattan students or residents,Then to New York City residents,,,,,,,"40 Irving Place
New York, NY 10003
(40.735519463, -73.987604249)",6,2,50,1017828,1008720057,Gramercy                                                                   
02M294,Essex Street Academy,Manhattan,M445,212-475-4773,212-674-2058,9,12,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9","B, D to Grand St ; F, J, M, Z to Delancey St-Essex St",350 Grand Street,New York,NY,10002,www.essexstreetacademy.org,349,Seward Park Educational Campus,Consortium School,"Essex Street Academy prepares all students for success in college and careers by treating them as individuals with specific strengths and needs and appealing to their intellectual curiosity. We offer elective courses that challenge students to develop their own ideas and push them to learn by doing. Students design and conduct experiments, develop historical theses, analyze works of literature and develop solutions and proofs for mathematical problems. Small class size makes a personalized approach to education possible, enabling teachers to develop an individual relationship with each student. At Essex Street Academy, our students are active, not passive, learners and graduate from our school confident in their ability to tackle any problem they encounter.","9th-10th grade courses include: Ecology, Genetics, Human Impact, Response to Literature, Persuasive Writing, Studio Art, Music; 11th grade year-long intensive courses in Theater or Studio Art; 9th-12th Grade Math sequence culminating in Calculus; 11th-12th grade courses include: Physics, Neuroscience, Anatomy & Physiology, Chemistry, Personal Narrative, Constitutional Law, American Foreign Policy; College Counseling: Full-time counselors, overnight trips to colleges, SAT Prep, individualized counseling; College courses offered to 11th and 12th graders via New York University (NYU), The City University of New York (CUNY) and Monroe College; Advisory; 12th grade internship program","French, Spanish",Spanish Language and Culture,,,"After-school and Saturday Program: Homework help in every subject provided by teachers three days a week until 5:00 PM; Other opportunities include: Capoeira, Community Service, Student Newpaper, Fitness, Swimming, Music, Big Sib Mentoring Program, Cheerleading Team, Mock Trial, Step Team, Student Government, Theater, Weight Room, Yearbook, Yoga","Basketball, Bowling, Tennis, Volleyball","Basketball, Bowling, Tennis, Volleyball",,Boys Intramural Basketball Team,Greenwich Village Youth Council,,"New York University, Parsons School of Design, CUNY College Now, and Monroe College",The Possibility Project,"Volunteers of Legal Services Corporation, New York Cares, Facing History and Ourselves, New York City Outward Bound","Ramius Capital Group, LLC; Hughes Hubbard & Reed LLP",,"ESI Summer Bridge Program for incoming ninth grade boys. Students will be invited to attend a summer bridge program that focuses on team building, leadership skills, college research and visits, as well as math and literacy skills.","Essex Street Academy (ESA) is a member of the Performance Standards Consortium; To graduate, students complete challenging in-depth projects and present their findings to panels consisting of parents, teachers, students and invited guests who serve as outside evaluators, Students at ESA complete 3 years of Foreign Language and 3 years of Art",,8:00 AM,2:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,,"350 Grand Street
New York, NY 10002
(40.716867224, -73.989531943)",3,1,18,1005283,1004080030,Chinatown                                                                  
27Q480,John Adams High School,Queens,Q480,718-322-0500,718-738-9077,9,12,,,"Q11, Q112, Q37, Q41, Q53, Q7",A to 104th St-Oxford Ave,101-01 Rockaway Boulevard,Ozone Park,NY,11417,www.johnadamsnyc.org,2838,N/A,,"John Adams High School combines the best of what both large and small schools have to offer. As a large school, students get to choose from a broad array of Advanced Placement and College Now classes, as well as numerous electives in expanding technology, science, writing, art and music programs. We also offer more than thirty clubs and teams. Individualized attention and a sense of community are developed in each of our eight Small Learning Communities, led by directors and guidance counselors who work with the same group of students during their four years of high school. We are supported in our mission to prepare all students for college and career by partners such as New Visions for Public Schools (a recognized leader in promoting student success), York College and New York City College of Technology.","John Adams High School is composed of eight Small Learning Communities, each with its own area of focus. Each Small Learning Community has roughly 300 students, as well as its own director and guidance counselor team. Special programs include: Pre-Advanced Placement classes, Advanced Placement classes, College Now","Bengali, Spanish, Spanish Native Language Arts","Biology, Calculus AB, Calculus BC, Chemistry, English Literature and Composition, Environmental Science, Spanish Language and Culture, United States History, World History","Biology, Calculus AB, Calculus BC, Chemistry, English Literature and Composition, Environmental Science, Spanish Language and Culture, United States History, World History","French, Spanish","College Now, Drama Productions, Mock Trial, Police Athletic League (PAL) Neighborhood Cleanup, Robotics, Yearbook, Afro-American Club, Archon, Arista, Artsonia, Asian Club, Callandra, Campus Newspaper, College Summit, Debate, Environmental, Explorers, Film, For Inspiration and Recognition of Science and Technology (FIRST) Robotics, Foreign Language, Health Occupations Students of America (HOSA), Key Club, Liberty Partnership, Math Team, Mock Trial, Model Congress, Model UN, Moot Court, Multicultural, National Honor Society, Peer Tutoring, Photo, SAT Prep, Saturday Literacy Center, SAYA!, School Leadership Team, Student Government","Basketball & JV Basketball, Bowling, Double Dutch, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Volleyball & JV Volleyball","Basketball & JV Basketball, Bowling, Double Dutch, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Volleyball & JV Volleyball","Cricket, Golf","Cheerleading, Intramural Sports","ASPIRA, Global Kids, Hospital Audiences, Inc.,(HAI), South East Queens Boys and Girls Club, South Asian Youth Action (SAYA!), Justice Resource Center",Brookdale University Hospital and Medical Center,"York College, St. John’s University, DeVry University, New York City College of Technology (City Tech), New York Institute of Technology (NYIT)","Periwinkle Theater for Youth, Working Playground, Artsonia, Urban Arts, Roundabout Theater Company, and TDF.","United Way, High Schools That Work, The After-School Corporation (TASC), Queens Chamber of Commerce, Global Kids, Queens Community House and Urban Arts.",,,,,"Community Service Requirement, Extended Day Program, Student Summer Orientation, Weekend Program offered",8:00 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,"ESL; Transitional Bilingual Program: Bengali, Spanish",Not Functionally Accessible,8,Open to New York City residents,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area.,,,,,,,,,"101 01 Rockaway Boulevard Ozone Park
NY 11417
(40.679831401, -73.838322664)",10,32,864,4202849,4095400002,South Ozone Park                                                           
24Q610,Aviation Career & Technical Education High School,Queens,Q610,718-361-2032,718-784-8654,9,12,,,"B24, Q32, Q39, Q60, Q67",7 to Rawson St-33rd St,45-30 36 Street,Long Island City,NY,11101,www.aviationhs.net,2231,N/A,CTE School,"Our state-endorsed Career and Technical Education (CTE) program provides a world-class education. This unique curriculum prepares students for a Regents diploma and Federal Aviation Administration (FAA) certification as Aircraft Maintenance Technicians, leading to exciting and lucrative careers in the aerospace industry. All members of the school community work to create a culture that instills respect and self-discipline to meet the demands of today’s colleges, universities and work force. Our world-renowned reputation for excellence reflects our tradition, mission and commitment to our students’ future and the future of the aerospace industry.","Students may receive CTE endorsement in Aviation Maintenance Technology; Students can earn a Federal Aviation Administration (FAA) license/certification in Airframe and Powerplant certification with optional 5th Year Honors Program; Annex Internship and Program at John F. Kennedy (JFK) International Airport; Aerospace Pre-Engineering Program, Air Force Junior Reserve Officers' Training Corps (JROTC), College Now, For Inspiration and Recognition of Science and Technology (FIRST) Robotics, AutoCAD; Internships with national airlines; College visitation tours; All students are required to take Aviation Maintenance courses which are multiple periods in length, in addition to their math, science, English, social studies, physical education and art/music classes",Spanish,"Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Physics B, United States Government and Politics, United States History, World History",,Spanish,"Air Force Junior Reserve Officers' Training Corps (AFJROTC), Airborne Flying, Aircraft Structural Repair, Asian Club, Aviation High School Band/Music, Chess, Christian Club, Drama, FIRST Robotics Team, Future Airline Pilots, Journalism, Key Club, Math Leaders, Mock Trial and Moot Court, Model Airplane, Music, Muslim Club, National Honor Society, Outdoors, Pegasus Technical Honor Society, Presidents'/Captains' Association, Science Leadership Institute, Secular Student, Sister Circle, SkillsUSA/VICA (Vocational Industrial Clubs of America), Student Government, Yearbook","Basketball, Indoor Track, Outdoor Track, Volleyball","Basketball, Indoor Track, Outdoor Track, Volleyball",,,"Kiwanis Club of LaGuardia Airport, NYPD Aviation Unit",,"City University of New York (CUNY), Embry-Riddle Aeronautic University, Pennsylvania College of Technology, Polytechnic Institute of New York University (NYU Poly), Stony Brook University, Vaughn College",,"Air Explorers, Health Corps, Working in Support of Education (W!SE)","Airbus Industries, American Airlines, British Airways, Delta Airlines, Evergreen International, Federal Aviation Administration, Federal Express, International Association of Machinists, General Imaging Technologies, JetBlue Airways, North American Airlines, Port Authority of New York and New Jersey, Pratt and Whitney Aircraft",,SPARK,5th Year Honors Program where students can apply to stay for an additional year of school to earn their second FAA license,"Extended Day Program, Internship Requirement",8:00 AM,4:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,Open to New York City residents,,,,,,,,,,"45 30 36 Street
Long Island City, NY 11101
(40.743593644001, -73.929077865)",2,26,179,4436685,4002260001,Hunters Point-Sunnyside-West Maspeth                                       
18K566,Brooklyn Generation School,Brooklyn,K515,718-968-4200,718-444-5419,9,12,,,"B103, B47, B6, B82",N/A,6565 Flatlands Avenue,Brooklyn,NY,11236,www.generationschools.org/northeast www.brooklyngeneration.org/student-spotlight,297,South Shore Educational Campus,,"Brooklyn Generation School invites students and families to a four year conversation to ensure that students graduate with competence and confidence, prepared for life’s responsibilities, challenges and opportunities. Our students receive intensive, small group instruction on a daily basis and complete projects that connect learning to life. Brooklyn Generation School students benefit from our month-long College and Career Intensives, with dedicated time to focus on the college process and career exploration. Our teachers continually monitor and assess each student’s progress and keep parents informed of their child’s academic strengths and challenges. Our liberal arts curriculum provides students with the skills, knowledge and experience needed to become active and productive members of their community.","Foundation Courses prepare students for state-mandated Regents and success beyond high school; Studio Courses provide a range of academic, remedial and enrichment opportunities; Month-long College and Career Intensives provide opportunities for students to explore life beyond high school, meet professionals and visit and plan for college; Students prepare for college entrance exams with At Home in College Classes and earn college credit through At Home In College",French,,,,"Music Club, Student Government, Visual Arts, Tutoring, Yearbook and other school-wide publications; other activities will be added based on student interest.","Basketball & JV Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball","Basketball & JV Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball",,Cheerleading,Arthur Ashe Institute for Public Health's Science Academy; Brooklyn College's TRIO Educational Talent Search Program; Sesame Flyers: Get R.I.C.H Program,"Harlem Hospital, SUNY Downstate Medical Center - Arthur Ashe Institute for Urban Health, New York Methodist Hospital",CUNY Network; Brooklyn College; Medgar Evers College; SUNY Brockport; Monroe College; Daemon College,"The Possibility Project (formerly City-As-Peace); All-Stars Project Theatre and Creative Arts Programs, NYC",Generation Schools Network,"Brooklyn Generation School partners with corporations that are part of our Community Engagement Teams. The Financial Services team, for example, is anchored by Franklin Templeton Investment. The Community Engagement Team members visit the school, serve as mentors, and host students at their offices for work-based educational experiences.",Bloomberg-Financial,"For more information about the partnerships that support our school and College and Career Intensives program, see our website: www.generationschools.org","Extended School Year; Our school year begins in late-August, College and Career Intensive courses provide students with opportunities to explore life beyond high school, work with professionals off campus, and connect learning to life","Community Service Requirement, Extended Day Program, Student Summer Orientation, Weekend Program offered",8:30 AM,3:20 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,,"6565 Flatlands Avenue
Brooklyn, NY 11236
(40.63262743, -73.917797989)",18,46,950,3224139,3079980005,Canarsie                                                                   
15K684,Millennium Brooklyn HS,Brooklyn,K460,718-832-4333,718-499-2126,9,12,,,"B61, B63, B67","D, R to 4th Ave - 9th St ; F, G to 7th Ave",237 7 Avenue,Brooklyn,NY,11215,www.millenniumbrooklynhs.org,387,John Jay Educational Campus,,"The mission of Millennium Brooklyn is to create a challenging academic program based on literacy infusion, the development of critical thinking skills and project-based learning. We aim to prepare graduates for a college of choice and post-secondary options, empowering students through the setting and reaching of goals. The school's partnerships play a strong role in both in-school and after-school components of the school day and in all aspects of school life. Partners are involved in curriculum development, extended day program, parent support and outreach. Partnership involvement facilitates a community-centered environment and provides a range of learning experiences.","Advisory and Exploration: Peer group, Team-building activities and group discussion; Executive functioning, Organization skills building and academic check-in, Research and writing skills, Networking/application of skills in the field/modes of research/offsite learning, College Preparation, Autism Spectrum Disorder (ASD) Nest Program","French, Spanish","Chemistry, English Literature and Composition, United States History",,,"Advisory, Art, Basketball, Community Service, Cooking, Creative Writing, Dance, Drama, Film, Independent Research, Peer Leadership, Required Research Electives, Student Government, Swimming, Weight Training","Basketball, Cross Country, Fencing, Swimming","Basketball, Cross Country, Fencing, Swimming",,"Basketball, Ultimate Frisbee, Girls Soccer, Running Club, Swimming, Weight Training",,,New York University; Hunter College; PACE University; Teachers College,,Anti-Defamation League,,,"National Consortium for Specialized Secondary Schools of Mathematics, Science, and Technology",,Community Service Requirement,8:00 AM,2:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to Brooklyn students or residents,Then to New York City residents,,,,,,,,,"237 7 Avenue
Brooklyn, NY 11215
(40.669598175, -73.979255522)",6,39,155,3025510,3010820001,Park Slope-Gowanus                                                         
06M423,High School for Excellence and Innovation,Manhattan,M052,212-569-1022,212-569-1190,9,12,,,"Bx12-SBS, Bx20, Bx7, M100, M3, M4",1 to Dyckman St ; A to Dyckman St-200th St,650 Academy Street,New York,NY,10034,http://schools.nyc.gov/schoolportals/06/M423,223,N/A,,"At the High School for Excellence and Innovation, we empower our students by providing an abundance of opportunities for them to exercise student voice and choice during their high school experience. By building students’ capacity to fully participate as community members of their school, we help them become agents of change who positively affect their homes, communities and the world. Our belief is that regardless of previous challenges in middle school, every student can earn a high school diploma and be prepared to transition to post-secondary training or college to embark on their 21st century career paths.","Saturday Academy and PM School provide students with test prep, tutoring and online credit recovery; Programs in film production, band, art, intramural sports",Spanish,English Literature and Composition,,,"Arts and Cultural Trips, Photography Class, Community-based Service Projects, Wellness Program, Math Team, NYS Regents Preparation, Peer Tutoring, Saturday Academy, School Tour Guides, Science Explorers, Student Council, Student Peer Mediation Team, Student Recruitment Committee, Student-led Town Hall Assemblies, Music Band and Student & Staff Talent Show; Additionally, students have the opportunity to create their own clubs and activities",,,,"Boys: Baseball, Basketball, Flag Football, Track, Volleyball; Girls: Basketball, Softball; Co-ed: Outdoor Track; Student vs. Faculty Games","East Side House (ESH) (provides comprehensive services for students in Advisory, Counseling, Youth Leadership Development, Parent/Community Engagement, After-school and Saturday programs)",New York-Presbyterian Hospital - Center for Community Health and Education,"Columbia University Medical Center, Hostos Community College, New York University, Teachers College Inclusive Project.","Educational Video Center, New York City Historical Society, Urban Arts Partnership.",Urban ARts- Fresh Prep Program Teen Leadership Program Discover Outdoors Foundation Health Leadership Circle Inwood Youth Council Collective,"Educators for Social Responsibility, reDesign, New York City Leadership Academy, PENCIL partnership, Eskolta, Coop Tech.",,Office of Postsecondary Readiness (Intermediary),"Uniform Required: shirt with school logo, Summer Programs offered, Saturday Program offered","Extended Day Program, Student Summer Orientation",8:45 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Open only to 15-16-year-old students entering high school for the first time; students must have a record of being held back two times in elementary and/or middle school; students must attend an Open House and personalized intake meeting,,,,,,,,,,"650 Academy Street
New York, NY 10034
(40.866045549, -73.924856642)",12,10,291,1076776,1022330020,Marble Hill-Inwood                                                         
10X445,Bronx High School of Science,Bronx,X445,718-817-7700,718-733-7951,9,12,,,"Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3","4 to Bedford Park Blvd - Lehman College ; B, D to Bedford Park Blvd",75 West 205 Street,Bronx,NY,10468,www.bxscience.edu,3037,N/A,Specialized School,"Our primary educational objective is to teach gifted students to think scientifically. We accomplish this goal by providing research opportunities in many disciplines, numerous Advanced Placement and post-Advanced Placement courses, hands-on lab experiences and individualized attention in a warm, caring learning environment. We provide an enriched and diverse program to prepare students for leadership positions in science and society. Students at Bronx Science enjoy a well-rounded education and the experience of a college-like atmosphere with an open campus.","Intel Research Program, Post-AP Genetics, Post-AP Psychology Courses, Game Programming, Quantum Mechanics, Quantitative Analysis, Linear Algebra, Multivariable Calculus, Digital Music, Four Performing Musical Groups, Speech and Debate, Abnormal Behavior, Forensic Science, Electronics, Holocaust Studies, Animal Behavior with the Bronx Zoo, Astronomy (planetarium on-site), Computer Science Sequence, Digital Photography","Chinese, French, Italian, Japanese, Latin, Modern Greek, Spanish","Art History, Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Comparative Government and Politics, Computer Science A, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language and Culture, Human Geography, Italian Language and Culture, Japanese Language and Culture, Macroeconomics, Microeconomics, Music Theory, Physics B, Physics C: Electricity and Magnetism, Physics C: Mechanics, Psychology, Spanish Language and Culture, Spanish Literature and Culture, Statistics, Studio Art: 2-D Design, Studio Art: Drawing, United States Government and Politics, United States History, World History",,,"Arista Honor Society, Big Sibs, Bridge Building, Biology, Math; Physical Science, English and Social Studies Journals, Envirothon, Euro Challenge, Fed Challenge, Mock Trial, Model UN, Math Team, S!NG, Musical and Dramatic Theater Productions, Oceanography, Robotics Teams, School Newspaper, Yearbook, Science Olympiad, Speech and Debate Team; Over 80 clubs; students can start new clubs","Basketball & JV Basketball, Bowling, Cross Country, Fencing, Football, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball, Wrestling","Basketball & JV Basketball, Bowling, Cross Country, Fencing, Football, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball, Wrestling",,"Our Girls' Soccer team was 2012 city champions! Please visit the Bronx Science Homepage for a list of sports, coaches and achievements.","Riverdale Young Men/Women Hebrew Association (YMWHA), Kiwanis International",The Hebrew Home for the Aged,"State University of New York (SUNY) Albany, Columbia University, New York University, Rockefeller University, Weill Cornell Medical College, Hospital for Special Surgery, The Cooper Union for the Advancement of Science and Art, City University New York (CUNY), Albert Einstein College of Medicine, Mount Sinai School of Medicine, Fordham University, Memorial Sloan-Kettering Cancer Center, Manhattan College","ArtsConnection, Scholastic Arts and Writing, Museum of Modern Art (MoMA), Museum of Jewish Heritage, The Jewish Museum, Alexander S. Onassis Public Benefit Foundation","Bronx Zoo, Hennessy Family Foundation","Akin Gump Strauss Hauer & Feld LLP, Con Edison",Credit Suisse,"U.S. Department of State, New York State Supreme Court, The New York City Bar Association, New York City School Construction Authority, Metropolitan Transit Authority, Council on Foreign Relations","), and a list of sports, coaches, and achievements.",,8:00 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Open to New York City residents,,,,,,,,,,"75 West 205 Street
Bronx, NY 10468
(40.877056368, -73.889780351)",7,11,409,2094706,2032510201,Van Cortlandt Village                                                      
